Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
2406,Exit long,2026-03-02 09:30,NQ09B BUY NY STOP,24643.5,2,985790,-59,-0.01,9,0,0.00,-54.5,-0.01,123285.5,49.31,0
2406,Entry long,2026-03-02 09:30,[CC] BUY NY,24644.75,2,985790,-59,-0.01,9,0,0.00,-54.5,-0.01,123285.5,49.31,0
2407,Exit long,2026-03-02 18:00,NQ09B BUY WEEKDAY 1800 STOP,25001.75,1,500060,-29.5,-0.01,4.5,157.75,0.03,-27.25,-0.01,123256,49.30,0
2407,Entry long,2026-03-02 18:00,[CC] BUY WEAK,25003,1,500060,-29.5,-0.01,4.5,157.75,0.03,-27.25,-0.01,123256,49.30,0
2408,Exit long,2026-03-03 09:30,NQ09B BUY NY STOP,24534,2,981410,-59,-0.01,9,0,0.00,-54.5,-0.01,123197,49.28,0
2408,Entry long,2026-03-03 09:30,[CC] BUY NY,24535.25,2,981410,-59,-0.01,9,0,0.00,-54.5,-0.01,123197,49.28,0
2409,Exit long,2026-03-03 18:00,NQ09B BUY WEEKDAY 1800 STOP,24709.75,2,988440,-59,-0.01,9,155.5,0.02,-54.5,-0.01,123138,49.26,0
2409,Entry long,2026-03-03 18:00,[CC] BUY PREMIUM,24711,2,988440,-59,-0.01,9,155.5,0.02,-54.5,-0.01,123138,49.26,0
2410,Exit long,2026-03-04 09:30,NQ09B BUY NY STOP,24852.5,2,994150,-59,-0.01,9,0,0.00,-54.5,-0.01,123079,49.23,0
2410,Entry long,2026-03-04 09:30,[CC] BUY NY,24853.75,2,994150,-59,-0.01,9,0,0.00,-54.5,-0.01,123079,49.23,0
2411,Exit long,2026-03-05 09:30,NQ09B BUY NY STOP,24986.75,2,999520,-59,-0.01,9,0,0.00,-54.5,-0.01,123020,49.21,0
2411,Entry long,2026-03-05 09:30,[CC] BUY NY,24988,2,999520,-59,-0.01,9,0,0.00,-54.5,-0.01,123020,49.21,0
2412,Exit long,2026-03-06 09:30,NQ09B BUY NY STOP,24684.25,2,987420,-59,-0.01,9,0,0.00,-54.5,-0.01,122961,49.18,0
2412,Entry long,2026-03-06 09:30,[CC] BUY NY,24685.5,2,987420,-59,-0.01,9,0,0.00,-54.5,-0.01,122961,49.18,0
2413,Exit long,2026-03-08 18:00,NQ09B BUY WEEKLY W80,24445.5,2,977420,391,0.04,9,395.5,0.04,-14.5,0.00,123352,49.34,0
2413,Entry long,2026-03-08 18:00,[CC] BUY WEEKLY,24435.5,2,977420,391,0.04,9,395.5,0.04,-14.5,0.00,123352,49.34,0
2414,Exit long,2026-03-09 09:30,NQ09B BUY NY STOP,24431.25,2,977300,-59,-0.01,9,0,0.00,-54.5,-0.01,123293,49.32,0
2414,Entry long,2026-03-09 09:30,[CC] BUY NY,24432.5,2,977300,-59,-0.01,9,0,0.00,-54.5,-0.01,123293,49.32,0
2415,Exit long,2026-03-09 18:00,NQ09B BUY WEEKDAY 1800 STOP,24980.5,1,499635,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,123263.5,49.31,0
2415,Entry long,2026-03-09 18:00,[CC] BUY WEAK,24981.75,1,499635,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,123263.5,49.31,0
2416,Exit long,2026-03-10 09:30,NQ09B BUY NY N130 TP2,25007.25,2,999650,631,0.06,9,635.5,0.06,-34.5,0.00,123894.5,49.56,0
2416,Entry long,2026-03-10 09:30,[CC] BUY NY,24991.25,2,999650,631,0.06,9,635.5,0.06,-34.5,0.00,123894.5,49.56,0
2417,Exit long,2026-03-10 18:00,NQ09B BUY WEEKDAY 1800 STOP,25009.25,1,500210,-29.5,-0.01,4.5,117.75,0.02,-27.25,-0.01,123865,49.55,0
2417,Entry long,2026-03-10 18:00,[CC] BUY WEAK,25010.5,1,500210,-29.5,-0.01,4.5,117.75,0.02,-27.25,-0.01,123865,49.55,0
2418,Exit long,2026-03-11 09:30,NQ09B BUY NY N130 TP2,25051,2,1001400,631,0.06,9,635.5,0.06,-14.5,0.00,124496,49.80,0
2418,Entry long,2026-03-11 09:30,[CC] BUY NY,25035,2,1001400,631,0.06,9,635.5,0.06,-14.5,0.00,124496,49.80,0
2419,Exit long,2026-03-12 09:30,NQ09B BUY NY STOP,24774.75,2,991040,-59,-0.01,9,0,0.00,-54.5,-0.01,124437,49.77,0
2419,Entry long,2026-03-12 09:30,[CC] BUY NY,24776,2,991040,-59,-0.01,9,0,0.00,-54.5,-0.01,124437,49.77,0
2420,Exit long,2026-03-12 18:00,NQ09B BUY WEEKDAY 1800 D80,24577.25,1,491345,195.5,0.04,4.5,197.75,0.04,-7.25,0.00,124632.5,49.85,0
2420,Entry long,2026-03-12 18:00,[CC] BUY WEAK,24567.25,1,491345,195.5,0.04,4.5,197.75,0.04,-7.25,0.00,124632.5,49.85,0
2421,Exit long,2026-03-13 09:30,NQ09B BUY NY STOP,24644.5,2,985830,-59,-0.01,9,0,0.00,-54.5,-0.01,124573.5,49.83,0
2421,Entry long,2026-03-13 09:30,[CC] BUY NY,24645.75,2,985830,-59,-0.01,9,0,0.00,-54.5,-0.01,124573.5,49.83,0
2422,Exit long,2026-03-15 18:00,NQ09B BUY WEEKLY STOP,24284,2,971410,-59,-0.01,9,0,0.00,-54.5,-0.01,124514.5,49.81,0
2422,Entry long,2026-03-15 18:00,[CC] BUY WEEKLY,24285.25,2,971410,-59,-0.01,9,0,0.00,-54.5,-0.01,124514.5,49.81,0
2423,Exit long,2026-03-16 09:30,NQ09B BUY NY STOP,24654.75,2,986240,-59,-0.01,9,0,0.00,-54.5,-0.01,124455.5,49.78,0
2423,Entry long,2026-03-16 09:30,[CC] BUY NY,24656,2,986240,-59,-0.01,9,0,0.00,-54.5,-0.01,124455.5,49.78,0
2424,Exit long,2026-03-17 09:30,NQ09B BUY NY STOP,24999.75,2,1000040,-59,-0.01,9,0,0.00,-54.5,-0.01,124396.5,49.76,0
2424,Entry long,2026-03-17 09:30,[CC] BUY NY,25001,2,1000040,-59,-0.01,9,0,0.00,-54.5,-0.01,124396.5,49.76,0
