Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1308,Exit short,2023-05-01 18:00,NQ09B SELL WEEKDAY 1800 D80,13281.75,1,265795,155.5,0.06,4.5,157.75,0.06,-7.25,0.00,57415,22.97,0
1308,Entry short,2023-05-01 18:00,[CC] SELL WEAK,13289.75,1,265795,155.5,0.06,4.5,157.75,0.06,-7.25,0.00,57415,22.97,0
1309,Exit short,2023-05-02 09:30,NQ09B SELL NY STOP,13302,2,532030,-59,-0.01,9,0,0.00,-54.5,-0.01,57356,22.94,0
1309,Entry short,2023-05-02 09:30,[CC] SELL NY,13300.75,2,532030,-59,-0.01,9,0,0.00,-54.5,-0.01,57356,22.94,0
1310,Exit short,2023-05-02 18:00,NQ09B SELL WEEKDAY 1800 STOP,13163,1,263235,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,57326.5,22.93,0
1310,Entry short,2023-05-02 18:00,[CC] SELL WEAK,13161.75,1,263235,-29.5,-0.01,4.5,0,0.00,-27.25,-0.01,57326.5,22.93,0
1311,Exit short,2023-05-03 09:30,NQ09B SELL NY STOP,13199.75,2,527940,-59,-0.01,9,0,0.00,-54.5,-0.01,57267.5,22.91,0
1311,Entry short,2023-05-03 09:30,[CC] SELL NY,13198.5,2,527940,-59,-0.01,9,0,0.00,-54.5,-0.01,57267.5,22.91,0
1312,Exit short,2023-05-03 18:00,NQ09B SELL WEEKDAY 1800 D80,13055.75,1,261275,155.5,0.06,4.5,157.75,0.06,-7.25,0.00,57423,22.97,0
1312,Entry short,2023-05-03 18:00,[CC] SELL WEAK,13063.75,1,261275,155.5,0.06,4.5,157.75,0.06,-7.25,0.00,57423,22.97,0
1313,Exit short,2023-05-04 09:30,NQ09B SELL NY STOP,13083.75,2,523300,-59,-0.01,9,0,0.00,-54.5,-0.01,57364,22.95,0
