winner_value_retained_pct,toxic_loss_avoided_pct,algebraic_net_pc,positive
55,50,15.075000000000045,True
55,55,43.35000000000008,True
55,60,71.62500000000003,True
55,65,99.90000000000006,True
55,70,128.175,True
55,75,156.45000000000005,True
55,80,184.72500000000008,True
55,85,213.00000000000003,True
55,90,241.27500000000006,True
55,95,269.55,True
55,100,297.82500000000005,True
60,0,-240.60000000000002,False
60,5,-212.32500000000005,False
60,10,-184.05,False
60,15,-155.77500000000003,False
60,20,-127.50000000000006,False
60,25,-99.22500000000002,False
60,30,-70.94999999999999,False
60,35,-42.67500000000001,False
60,40,-14.400000000000034,False
60,45,13.874999999999943,True
60,50,42.14999999999998,True
60,55,70.42500000000001,True
60,60,98.69999999999996,True
60,65,126.975,True
60,70,155.24999999999994,True
60,75,183.52499999999998,True
60,80,211.8,True
60,85,240.07499999999996,True
60,90,268.34999999999997,True
60,95,296.62499999999994,True
60,100,324.9,True
65,0,-213.52499999999998,False
65,5,-185.25,False
65,10,-156.97499999999997,False
65,15,-128.7,False
65,20,-100.42500000000001,False
65,25,-72.14999999999998,False
65,30,-43.87499999999994,False
65,35,-15.599999999999966,False
65,40,12.675000000000011,True
65,45,40.94999999999999,True
65,50,69.22500000000002,True
65,55,97.50000000000006,True
65,60,125.775,True
65,65,154.05000000000004,True
65,70,182.325,True
65,75,210.60000000000002,True
65,80,238.87500000000006,True
65,85,267.15,True
65,90,295.425,True
65,95,323.7,True
65,100,351.975,True
70,0,-186.45000000000005,False
70,5,-158.17500000000007,False
70,10,-129.90000000000003,False
70,15,-101.62500000000006,False
70,20,-73.35000000000008,False
70,25,-45.075000000000045,False
70,30,-16.80000000000001,False
70,35,11.474999999999966,True
70,40,39.74999999999994,True
70,45,68.02499999999992,True
70,50,96.29999999999995,True
70,55,124.57499999999999,True
70,60,152.84999999999994,True
70,65,181.12499999999997,True
70,70,209.39999999999992,True
70,75,237.67499999999995,True
70,80,265.95,True
70,85,294.2249999999999,True
70,90,322.49999999999994,True
70,95,350.7749999999999,True
70,100,379.04999999999995,True
75,0,-159.375,False
75,5,-131.10000000000002,False
75,10,-102.82499999999999,False
75,15,-74.55000000000001,False
75,20,-46.275000000000034,False
75,25,-18.0,False
75,30,10.275000000000034,True
75,35,38.55000000000001,True
75,40,66.82499999999999,True
75,45,95.09999999999997,True
75,50,123.375,True
75,55,151.65000000000003,True
75,60,179.92499999999998,True
75,65,208.20000000000002,True
75,70,236.47499999999997,True
75,75,264.75,True
75,80,293.02500000000003,True
75,85,321.29999999999995,True
75,90,349.575,True
75,95,377.84999999999997,True
75,100,406.125,True
80,0,-132.29999999999995,False
80,5,-104.02499999999998,False
80,10,-75.74999999999994,False
80,15,-47.474999999999966,False
80,20,-19.19999999999999,False
80,25,9.075000000000045,True
80,30,37.35000000000008,True
80,35,65.62500000000006,True
80,40,93.90000000000003,True
80,45,122.17500000000001,True
80,50,150.45000000000005,True
80,55,178.72500000000008,True
80,60,207.00000000000003,True
80,65,235.27500000000006,True
80,70,263.55,True
80,75,291.82500000000005,True
80,80,320.1000000000001,True
80,85,348.375,True
80,90,376.65000000000003,True
80,95,404.925,True
80,100,433.20000000000005,True
85,0,-105.22500000000002,False
85,5,-76.95000000000005,False
85,10,-48.67500000000001,False
85,15,-20.400000000000034,False
85,20,7.874999999999943,True
85,25,36.14999999999998,True
85,30,64.42500000000001,True
85,35,92.69999999999999,True
85,40,120.97499999999997,True
85,45,149.24999999999994,True
85,50,177.52499999999998,True
85,55,205.8,True
85,60,234.07499999999996,True
85,65,262.35,True
85,70,290.62499999999994,True
85,75,318.9,True
85,80,347.175,True
85,85,375.44999999999993,True
85,90,403.72499999999997,True
85,95,431.99999999999994,True
85,100,460.275,True
90,0,-78.14999999999998,False
90,5,-49.875,False
90,10,-21.599999999999966,False
90,15,6.675000000000011,True
90,20,34.94999999999999,True
90,25,63.22500000000002,True
90,30,91.50000000000006,True
90,35,119.77500000000003,True
90,40,148.05,True
90,45,176.325,True
90,50,204.60000000000002,True
90,55,232.87500000000006,True
90,60,261.15,True
90,65,289.42500000000007,True
90,70,317.7,True
90,75,345.975,True
90,80,374.25000000000006,True
90,85,402.525,True
90,90,430.8,True
90,95,459.075,True
90,100,487.35,True
95,0,-51.075000000000045,False
95,5,-22.800000000000068,False
95,10,5.474999999999966,True
95,15,33.74999999999994,True
95,20,62.02499999999992,True
95,25,90.29999999999995,True
95,30,118.57499999999999,True
95,35,146.84999999999997,True
95,40,175.12499999999994,True
95,45,203.39999999999992,True
95,50,231.67499999999995,True
95,55,259.95,True
95,60,288.2249999999999,True
95,65,316.5,True
95,70,344.7749999999999,True
95,75,373.04999999999995,True
95,80,401.325,True
95,85,429.5999999999999,True
95,90,457.87499999999994,True
95,95,486.1499999999999,True
95,100,514.425,True
100,0,-24.0,False
100,5,4.274999999999977,True
100,10,32.55000000000001,True
100,15,60.82499999999999,True
100,20,89.09999999999997,True
100,25,117.375,True
100,30,145.65000000000003,True
100,35,173.925,True
100,40,202.2,True
100,45,230.47499999999997,True
100,50,258.75,True
100,55,287.02500000000003,True
100,60,315.29999999999995,True
100,65,343.57500000000005,True
100,70,371.84999999999997,True
100,75,400.125,True
100,80,428.40000000000003,True
100,85,456.67499999999995,True
100,90,484.95,True
100,95,513.225,True
100,100,541.5,True
