ts_event_utc,ts_recv_utc,price,size,bid,ask,spread_points,quote_state,action,side,flags,sequence,publisher_id,instrument_id,rtype,source_file
2020-03-16 13:45:01.068380959+00:00,2020-03-16 13:45:01.078850336+00:00,7284.75,1,7284.75,7287.0,2.25,VALID,T,A,0,4623820,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.069410197+00:00,2020-03-16 13:45:01.078906844+00:00,7284.75,1,7284.75,7287.0,2.25,VALID,T,A,0,4623821,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.070061385+00:00,2020-03-16 13:45:01.078906844+00:00,7284.75,2,7284.75,7287.0,2.25,VALID,T,A,0,4623821,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.079026661+00:00,2020-03-16 13:45:01.079431390+00:00,7277.25,1,7277.25,7287.0,9.75,VALID,T,A,0,4623827,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.079026661+00:00,2020-03-16 13:45:01.079546335+00:00,7275.75,1,7277.25,7287.0,9.75,VALID,T,A,0,4623828,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.079026661+00:00,2020-03-16 13:45:01.079546335+00:00,7275.0,1,7277.25,7287.0,9.75,VALID,T,A,0,4623828,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:01.170858085+00:00,2020-03-16 13:45:01.171065314+00:00,7272.75,6,7263.25,7272.75,9.5,VALID,T,B,0,4624516,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:02.001834527+00:00,2020-03-16 13:45:02.002065027+00:00,7277.25,5,7263.5,7277.25,13.75,VALID,T,B,0,4625692,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:02.031043685+00:00,2020-03-16 13:45:02.031300856+00:00,7276.0,3,7263.5,7276.0,12.5,VALID,T,B,0,4625730,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:02.071939461+00:00,2020-03-16 13:45:02.072127518+00:00,7277.25,1,7263.5,7277.25,13.75,VALID,T,B,0,4625903,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.096000+00:00,2020-03-16 13:45:07.102048649+00:00,7264.25,20,7304.5,7226.5,-78.0,CROSSED,T,N,0,4630537,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.102450929+00:00,2020-03-16 13:45:07.102882496+00:00,7264.0,1,7263.5,7264.0,0.5,VALID,T,B,0,4630547,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.102468661+00:00,2020-03-16 13:45:07.102922064+00:00,7263.5,1,7263.5,7264.0,0.5,VALID,T,A,0,4630548,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.104055919+00:00,2020-03-16 13:45:07.104315569+00:00,7263.25,2,7263.25,7264.0,0.75,VALID,T,A,0,4630562,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.105504767+00:00,2020-03-16 13:45:07.105667491+00:00,7263.0,1,7263.0,7263.5,0.5,VALID,T,A,0,4630574,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.105811127+00:00,2020-03-16 13:45:07.106004972+00:00,7263.5,1,7263.0,7263.5,0.5,VALID,T,B,0,4630578,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.107726537+00:00,2020-03-16 13:45:07.107892083+00:00,7263.0,3,7263.0,7264.0,1.0,VALID,T,A,0,4630584,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
2020-03-16 13:45:07.108201311+00:00,2020-03-16 13:45:07.108378485+00:00,7263.0,2,7263.0,7264.0,1.0,VALID,T,A,0,4630588,1,16908,1,C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\COVID_2020_03_16\EXTRACTED_c77e649a361f\glbx-mdp3-20200316.tbbo.NQM0.dbn.zst
