month,net,scenario
2025-10,4816.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-11,9230.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2025-12,6594.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2026-01,11461.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2026-02,9540.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2026-03,9713.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2026-04,9710.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2026-05,11632.0,CONTROL_DERIVED_0T_ENTRY_SLIP
2026-06,10242.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2026-07,14236.5,CONTROL_DERIVED_0T_ENTRY_SLIP
2020-01,-210.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-02,2554.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-03,7082.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-04,5150.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-05,2449.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-06,3114.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-07,5251.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-08,630.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-09,6183.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-10,3158.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-11,5016.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2020-12,1048.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-01,2973.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-02,4405.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-03,4316.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-04,1711.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-05,1666.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-06,781.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-07,1488.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-08,926.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-09,4567.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-10,5258.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-11,3428.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2021-12,3887.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-01,8233.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-02,5340.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-03,6746.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-04,3658.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-05,7861.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-06,7484.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-07,7938.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-08,5160.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-09,3048.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-10,3906.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-11,3803.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2022-12,3930.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-01,3759.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-02,947.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-03,2399.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-04,1743.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-05,541.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-06,4649.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-07,5429.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-08,3857.0,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-09,3892.5,CONTROL_DERIVED_1T_ENTRY_SLIP
2023-10,3704.5,CONTROL_DERIVED_1T_ENTRY_SLIP
