trade_number,entry_time_et,route,source_status,active_symbol,control_pair_net,profile,execution_mode,stop_mode,extra_ticks,status,direction,proof_time_utc,proof_trigger,entry_time_utc,entry_price,target,stop,trade_taken,exit_reason,exit_time_utc,exit_price,candidate_net,delta_vs_control,chase_points,spread,max_gap_before_proof_seconds,entry_index,limit_price
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,4,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,12.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,1,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,4,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.5,,14.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,0,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,1,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,2,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,4,SKIP_SPREAD_GATE,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,,,,,False,,,,0.0,118.0,,3.0,,18.0,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,0,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:01.109249673+00:00,22856.75,22840.0,22850.75,True,LIVE_STOP,2025-08-03 22:00:01.109249673+00:00,22860.25,-149.0,-31.0,0.0,3.5,0.05724138,,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,1,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:01.109249673+00:00,22856.5,22840.0,22850.75,True,LIVE_STOP,2025-08-03 22:00:01.109249673+00:00,22860.5,-169.0,-51.0,0.0,3.5,0.05724138,,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,2,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:01.109249673+00:00,22856.25,22840.0,22850.75,True,LIVE_STOP,2025-08-03 22:00:01.109249673+00:00,22860.75,-189.0,-71.0,0.0,3.5,0.05724138,,
2175,2025-08-03 18:00,WEEKLY,VALIDATED_SOURCE,NQU5,-118.0,CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,RESOLVED,SELL,2025-08-03 22:00:00.090916277+00:00,22849.25,2025-08-03 22:00:01.109249673+00:00,22855.75,22840.0,22850.75,True,LIVE_STOP,2025-08-03 22:00:01.109249673+00:00,22861.25,-229.0,-111.0,0.0,3.5,0.05724138,,
