profile,execution_mode,stop_mode,extra_ticks,clean_sessions,trades_taken,sessions_skipped,unresolved_sessions,candidate_net,control_net,delta_vs_control,profit_factor,max_drawdown,worst_session,best_session,target_exits,stop_exits,target_passed_skips,chase_cap_skips,stop_limit_no_fills
CTRL_500MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,4,22,8,14,0,-902.0,1016.0,-1918.0,0.0,-902.0,-169.0,0.0,0,8,0,8,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,4,22,8,14,0,-912.0,1016.0,-1928.0,0.0,-912.0,-169.0,0.0,0,8,0,7,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,4,22,8,14,0,-922.0,1016.0,-1938.0,0.0,-922.0,-169.0,0.0,0,8,0,8,0
CTRL_100MS_CAP_0P5,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,22,8,14,0,-962.0,1016.0,-1978.0,0.0,-962.0,-169.0,0.0,0,8,0,8,0
CTRL_250MS_CAP_1P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,22,8,14,0,-982.0,1016.0,-1998.0,0.0,-982.0,-169.0,0.0,0,8,0,7,0
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ORIGINAL_SURVIVOR_STOP,4,22,13,9,0,-1057.0,1016.0,-2073.0,0.3385481852315394,-828.0,-229.0,541.0,1,12,0,7,0
CTRL_1S_CAP_2P0,CONTROLLER_MARKET,ONE_POINT_FROM_FILL,4,22,13,9,0,-1687.0,1016.0,-2703.0,0.0,-1458.0,-229.0,0.0,0,13,0,7,0
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,4,22,20,2,0,-2055.5,1016.0,-3071.5,0.0,-1916.5,-139.0,0.0,0,20,0,0,2
OCO_LIMIT_0P5_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,4,22,20,2,0,-2135.5,1016.0,-3151.5,0.2167614157344581,-1996.5,-429.0,591.0,1,19,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,4,22,20,2,0,-2335.5,1016.0,-3351.5,0.0,-2196.5,-149.0,0.0,0,20,0,0,2
OCO_LIMIT_1P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,4,22,20,2,0,-2475.5,1016.0,-3491.5,0.18742819629082555,-2336.5,-449.0,571.0,1,19,0,0,2
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ONE_POINT_FROM_FILL,4,22,21,1,0,-2555.0,1016.0,-3571.0,0.0,-2356.0,-199.0,0.0,0,21,0,0,1
OCO_LIMIT_2P0_TTL_1S,OCO_STOP_LIMIT,ORIGINAL_SURVIVOR_STOP,4,22,21,1,0,-2655.0,1016.0,-3671.0,0.17699938003719776,-2456.0,-449.0,571.0,1,20,0,0,1
