trade_number,entry_time,route,quantity,buy_net,buy_mfe,buy_commission,buy_exit_signal,sell_net,sell_mfe,sell_commission,sell_exit_signal,entry_dt,month,year,pair_net,survivor,loser,survivor_net,survivor_mfe,survivor_commission,survivor_exit_signal,loser_net,loser_mfe,loser_commission,old_loser_false_leak_screen,survivor_mfe_minus_net,survivor_commission_component,survivor_market_giveback_upper,single_survivor_structure,rank
99,2020-03-24 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-03-24 09:30:00,2020-03,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,33
101,2020-03-25 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-03-25 09:30:00,2020-03,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,34
104,2020-03-27 09:30,NY,2,-59.0,0.0,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-03-27 09:30:00,2020-03,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,35
105,2020-03-29 18:00,WEEKLY,2,-59.0,0.0,9.0,NQ09B BUY WEEKLY STOP,311.0,315.5,9.0,NQ09B SELL WEEKLY W80,2020-03-29 18:00:00,2020-03,2020,252.0,SELL,BUY,311.0,315.5,9.0,NQ09B SELL WEEKLY W80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,36
111,2020-04-02 09:30,NY,2,-59.0,0.0,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-04-02 09:30:00,2020-04,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,37
112,2020-04-03 09:30,NY,2,-59.0,0.0,9.0,NQ09B BUY NY STOP,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,2020-04-03 09:30:00,2020-04,2020,442.0,SELL,BUY,501.0,505.5,9.0,NQ09B SELL NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,38
113,2020-04-05 18:00,WEEKLY,2,311.0,315.5,9.0,NQ09B BUY WEEKLY W80,-59.0,0.0,9.0,NQ09B SELL WEEKLY STOP,2020-04-05 18:00:00,2020-04,2020,252.0,BUY,SELL,311.0,315.5,9.0,NQ09B BUY WEEKLY W80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,39
114,2020-04-06 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-04-06 09:30:00,2020-04,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,40
115,2020-04-07 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-04-07 09:30:00,2020-04,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,41
119,2020-04-14 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-04-14 09:30:00,2020-04,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,42
120,2020-04-15 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-04-15 09:30:00,2020-04,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,43
124,2020-04-17 09:30,NY,2,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,NQ09B SELL NY STOP,2020-04-17 09:30:00,2020-04,2020,442.0,BUY,SELL,501.0,505.5,9.0,NQ09B BUY NY N130 TP2,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,44
125,2020-04-19 18:00,WEEKLY,2,-59.0,0.0,9.0,NQ09B BUY WEEKLY STOP,311.0,315.5,9.0,NQ09B SELL WEEKLY W80,2020-04-19 18:00:00,2020-04,2020,252.0,SELL,BUY,311.0,315.5,9.0,NQ09B SELL WEEKLY W80,-59.0,0.0,9.0,59.0,4.5,4.5,0.0,True,45
