path,name,size_bytes,size_human,mtime,sha256,classification,csv_rows,columns,first_time,last_time,date_tokens,integrity_status,notes,block_hint,actual_schema,authority_type,authority_label,authority_rank,rows,start_utc,end_utc,decode_status,decode_error
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250918.tbbo.NQU5.dbn.zst,glbx-mdp3-20250918.tbbo.NQU5.dbn.zst,1171308,1.12 MB,2026-08-06T02:24:21.180578,096695AD6F71F6339D9ED647D5124F68930F375A34126602938A32B081B0D800,DBN_HIGH_DETAIL,,,1758153600000000000,1758240000000000000,2025-09-18,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,48127,2025-09-18T00:00:00.511025783+00:00,2025-09-18T23:59:57.472882843+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250918.tbbo.NQZ5-NQH6.dbn.zst,glbx-mdp3-20250918.tbbo.NQZ5-NQH6.dbn.zst,1991,1.94 KB,2026-08-06T02:24:21.180578,C6456BEEE54E592F4EE271B88FC6CBD5B6CC7D48E4244284EAA2CD84C58CF241,DBN_HIGH_DETAIL,,,1758153600000000000,1758240000000000000,2025-09-18,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,63,2025-09-18T04:32:11.188929285+00:00,2025-09-18T20:36:57.065908779+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250918.tbbo.NQZ5.dbn.zst,glbx-mdp3-20250918.tbbo.NQZ5.dbn.zst,7570562,7.22 MB,2026-08-06T02:24:21.177577,3D6FBA0DE9B98992E2944C832A7B5D2D250CC3322262084DA6DD48857496CB2D,DBN_HIGH_DETAIL,,,1758153600000000000,1758240000000000000,2025-09-18,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,331877,2025-09-18T00:00:00.054296839+00:00,2025-09-18T23:59:59.736483905+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250919.tbbo.NQH6.dbn.zst,glbx-mdp3-20250919.tbbo.NQH6.dbn.zst,4399,4.30 KB,2026-08-06T02:24:21.186762,D7075B1511A73D0BF009EA2FFFA8FA72E5C0DDBD8514474021960A32F79F506E,DBN_HIGH_DETAIL,,,1758240000000000000,1758326400000000000,2025-09-19,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,143,2025-09-19T01:02:51.330426475+00:00,2025-09-19T20:53:11.359608663+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250919.tbbo.NQM6.dbn.zst,glbx-mdp3-20250919.tbbo.NQM6.dbn.zst,184,184.00 B,2026-08-06T02:24:21.180578,BAA69E126B522105A7DF7233FCF178A0735577275744D972296E8D63E07D9889,DBN_HIGH_DETAIL,,,1758240000000000000,1758326400000000000,2025-09-19,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,1,2025-09-19T18:01:24.538430901+00:00,2025-09-19T18:01:24.538430901+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250919.tbbo.NQU5-NQZ5.dbn.zst,glbx-mdp3-20250919.tbbo.NQU5-NQZ5.dbn.zst,39563,38.64 KB,2026-08-06T02:24:21.186762,E00746FBDB212FB72D98FCC7A63ADA9622F3CE62F5CC60D41E3F56A584D2B226,DBN_HIGH_DETAIL,,,1758240000000000000,1758326400000000000,2025-09-19,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,1648,2025-09-19T00:03:22.084580513+00:00,2025-09-19T13:29:58.011511121+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250919.tbbo.NQU5.dbn.zst,glbx-mdp3-20250919.tbbo.NQU5.dbn.zst,37351,36.48 KB,2026-08-06T02:24:21.186762,446462A3402CEC6565DF57575B18E329888444E10308057ED32E1E8241F9A45C,DBN_HIGH_DETAIL,,,1758240000000000000,1758326400000000000,2025-09-19,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,1533,2025-09-19T00:02:22.927917377+00:00,2025-09-19T13:29:54.643817769+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250919.tbbo.NQZ5-NQH6.dbn.zst,glbx-mdp3-20250919.tbbo.NQZ5-NQH6.dbn.zst,2625,2.56 KB,2026-08-06T02:24:21.187761,09EF5532DF2E88EF246359765C196F84E11CAD04AA0F2C885881B5E22A8CADF0,DBN_HIGH_DETAIL,,,1758240000000000000,1758326400000000000,2025-09-19,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,85,2025-09-19T05:06:03.441655629+00:00,2025-09-19T20:36:40.278265909+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250919.tbbo.NQZ5-NQM6.dbn.zst,glbx-mdp3-20250919.tbbo.NQZ5-NQM6.dbn.zst,189,189.00 B,2026-08-06T02:24:21.185577,D1A2CEA6F22A56FDBBC02BFB20F32952B1FE367E81D95F366F8C5A08B5D98651,DBN_HIGH_DETAIL,,,1758240000000000000,1758326400000000000,2025-09-19,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,1,2025-09-19T20:33:27.164091925+00:00,2025-09-19T20:33:27.164091925+00:00,PASS,
C:\FLIP_FLOP_HQ\01_INBOX\market_data\raw\BLOCK_2025_09_14_TO_09_19\EXTRACTED_696a2d5ed7ad\glbx-mdp3-20250919.tbbo.NQZ5.dbn.zst,glbx-mdp3-20250919.tbbo.NQZ5.dbn.zst,6784879,6.47 MB,2026-08-06T02:24:21.185577,9D2DBA90BAEAFDE5DCB76488DF1911669F7F2868B3A55F4093A0A42BCB7F7C2B,DBN_HIGH_DETAIL,,,1758240000000000000,1758326400000000000,2025-09-19,PASS,DBN_SCHEMA:tbbo;,SEP_2025,tbbo,TBBO,L1_TRADE_SPACE_AUTHORITY,2,299109,2025-09-19T00:00:00.052952529+00:00,2025-09-19T20:59:59.698146129+00:00,PASS,
