trade_number,buy_entry_time,buy_entry_price,buy_entry_signal,clock,trade,class,side,q,tim,tm,sp,tp,ref,risk,s60,r1,r2,r60,rg60,ef60,al,wc,cp,pdl,pwl,dh,dl,wh,wl,pdr,pwr,r30,gate,route,buy_exit_time,buy_exit_signal,buy_exit_price,buy_net,buy_commission,sell_entry_time,sell_entry_price,sell_entry_signal,sell_exit_time,sell_exit_signal,sell_exit_price,sell_net,sell_commission,entry_time,label,pair_net,year,month,day_of_week,hour_minute,route_class
1091,2022-09-22 09:30:00,11642.25,NQ09B|clock20220922|trade20220922|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11642.25|risk118.00|s60SHOCK|r1-0.224|r20.059|r60-0.166|rg600.362|ef600.586|al0|wc0.473|cp0.1|pdl-0.011|pwl-0.113|dh1.498|dl0.016|wh4.043|wl0.41,20220922.0,20220922.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11642.25,118.0,SHOCK,-0.224,0.059,-0.166,0.362,0.586,0.0,0.473,0.1,-0.011,-0.113,1.498,0.016,4.043,0.41,,,,,,2022-09-22 09:30:00,NQ09B BUY NY STOP,11641.0,-59.0,9.0,2022-09-22 09:30:00,11641.75,NQ09B|clock20220922|trade20220922|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11642.25|risk118.00|s60SHOCK|r1-0.224|r20.059|r60-0.166|rg600.362|ef600.586|al0|wc0.473|cp0.1|pdl-0.011|pwl-0.113|dh1.498|dl0.016|wh4.043|wl0.41,2022-09-22 09:30:00,NQ09B SELL NY STOP,11643.0,-59.0,9.0,2022-09-22 09:30:00,SKIP,-118.0,2022,2022-09,Thursday,09:30,NY
1092,2022-09-22 18:00:00,11584.0,NQ09B|clock20220922|trade20220923|classDAILY_REOPEN|routeIMM1800_WEAK|sideBUY|q1|tim18:00|tmD80|sp1.00|tp8.00|ref11566.50|r300.089|gate.06|risk59.00|s60CHOP|r10.032|r2-0.021|r600.011|rg600.104|ef600.211|al0|wc0.679|cp59.1|pdl-0.164|pwl-0.175|dh1.726|dl0.244|wh4.271|wl0.637,20220922.0,20220923.0,DAILY_REOPEN,BUY,1.0,18:00,D80,1.0,8.0,11566.5,59.0,CHOP,0.032,-0.021,0.011,0.104,0.211,0.0,0.679,59.1,-0.164,-0.175,1.726,0.244,4.271,0.637,,,0.089,0.06,IMM1800_WEAK,2022-09-22 18:00:00,NQ09B BUY WEEKDAY 1800 STOP,11582.75,-29.5,4.5,2022-09-22 18:00:00,11583.5,NQ09B|clock20220922|trade20220923|classDAILY_REOPEN|routeIMM1800_WEAK|sideSELL|q1|tim18:00|tmD80|sp1.00|tp8.00|ref11566.50|r300.089|gate.06|risk59.00|s60CHOP|r10.032|r2-0.021|r600.011|rg600.104|ef600.211|al0|wc0.679|cp59.1|pdl-0.164|pwl-0.175|dh1.726|dl0.244|wh4.271|wl0.637,2022-09-22 18:00:00,NQ09B SELL WEEKDAY 1800 D80,11575.5,155.5,4.5,2022-09-22 18:00:00,SELL,126.0,2022,2022-09,Thursday,18:00,WEEKDAY_WEAK
1093,2022-09-23 09:30:00,11461.25,NQ09B|clock20220923|trade20220923|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11460.50|risk118.00|s60NORMAL|r10.153|r2-0.046|r600.107|rg600.27|ef600.54|al0|wc0.397|cp0.1|pdl-0.173|pwl-0.263|dh1.019|dl0.15|wh4.636|wl0.966,20220923.0,20220923.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11460.5,118.0,NORMAL,0.153,-0.046,0.107,0.27,0.54,0.0,0.397,0.1,-0.173,-0.263,1.019,0.15,4.636,0.966,,,,,,2022-09-23 09:30:00,NQ09B BUY NY STOP,11460.0,-59.0,9.0,2022-09-23 09:30:00,11460.75,NQ09B|clock20220923|trade20220923|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11460.50|risk118.00|s60NORMAL|r10.153|r2-0.046|r600.107|rg600.27|ef600.54|al0|wc0.397|cp0.1|pdl-0.173|pwl-0.263|dh1.019|dl0.15|wh4.636|wl0.966,2022-09-23 09:30:00,NQ09B SELL NY STOP,11462.0,-59.0,9.0,2022-09-23 09:30:00,SKIP,-118.0,2022,2022-09,Friday,09:30,NY
1094,2022-09-25 18:00:00,11362.75,NQ09B|clock20220925|trade20220926|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref11388.00|pdr-0.291|pwr-2.103|r300.025|gate.06|risk118.00|s60NORMAL|r1-0.004|r20.043|r600.043|rg600.075|ef600.851|al0|wc0.538|cp70.1|pdl-0.427|pwl-0.323|dh1.239|dl0.371|wh4.856|wl1.186,20220925.0,20220926.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,11388.0,118.0,NORMAL,-0.004,0.043,0.043,0.075,0.851,0.0,0.538,70.1,-0.427,-0.323,1.239,0.371,4.856,1.186,-0.291,-2.103,0.025,0.06,,2022-09-25 18:00:00,NQ09B BUY WEEKLY W80,11370.75,311.0,9.0,2022-09-25 18:00:00,11362.25,NQ09B|clock20220925|trade20220926|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref11388.00|pdr-0.291|pwr-2.103|r300.025|gate.06|risk118.00|s60NORMAL|r1-0.004|r20.043|r600.043|rg600.075|ef600.851|al0|wc0.538|cp70.1|pdl-0.427|pwl-0.323|dh1.239|dl0.371|wh4.856|wl1.186,2022-09-25 18:00:00,NQ09B SELL WEEKLY STOP,11363.5,-59.0,9.0,2022-09-25 18:00:00,BUY,252.0,2022,2022-09,Sunday,18:00,WEEKLY
1095,2022-09-26 09:30:00,11352.25,NQ09B|clock20220926|trade20220926|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11352.50|risk118.00|s60CHOP|r1-0.094|r20.151|r600.056|rg600.232|ef600.226|al0|wc0.321|cp7.1|pdl0.333|pwl0.135|dh0.746|dl0.372|wh2.372|wl0.372,20220926.0,20220926.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11352.5,118.0,CHOP,-0.094,0.151,0.056,0.232,0.226,0.0,0.321,7.1,0.333,0.135,0.746,0.372,2.372,0.372,,,,,,2022-09-26 09:30:00,NQ09B BUY NY STOP,11351.0,-59.0,9.0,2022-09-26 09:30:00,11351.75,NQ09B|clock20220926|trade20220926|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11352.50|risk118.00|s60CHOP|r1-0.094|r20.151|r600.056|rg600.232|ef600.226|al0|wc0.321|cp7.1|pdl0.333|pwl0.135|dh0.746|dl0.372|wh2.372|wl0.372,2022-09-26 09:30:00,NQ09B SELL NY STOP,11353.0,-59.0,9.0,2022-09-26 09:30:00,SKIP,-118.0,2022,2022-09,Monday,09:30,NY
1096,2022-09-27 09:30:00,11470.75,NQ09B|clock20220927|trade20220927|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11470.00|risk118.00|s60CHOP|r1-0.012|r2-0.053|r60-0.067|rg600.205|ef601|al1|wc0.746|cp18.1|pdl0.759|pwl0.264|dh0.206|dl0.65|wh2.04|wl0.733,20220927.0,20220927.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11470.0,118.0,CHOP,-0.012,-0.053,-0.067,0.205,1.0,1.0,0.746,18.1,0.759,0.264,0.206,0.65,2.04,0.733,,,,,,2022-09-27 09:30:00,NQ09B BUY NY STOP,11469.5,-59.0,9.0,2022-09-27 09:30:00,11470.25,NQ09B|clock20220927|trade20220927|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11470.00|risk118.00|s60CHOP|r1-0.012|r2-0.053|r60-0.067|rg600.205|ef601|al1|wc0.746|cp18.1|pdl0.759|pwl0.264|dh0.206|dl0.65|wh2.04|wl0.733,2022-09-27 09:30:00,NQ09B SELL NY STOP,11471.5,-59.0,9.0,2022-09-27 09:30:00,SKIP,-118.0,2022,2022-09,Tuesday,09:30,NY
1097,2022-09-27 18:00:00,11361.25,NQ09B|clock20220927|trade20220928|classDAILY_REOPEN|routeIMM1800_WEAK|sideBUY|q1|tim18:00|tmD80|sp1.00|tp8.00|ref11354.25|r300.068|gate.06|risk59.00|s60CHOP|r10.04|r20.026|r600.066|rg600.142|ef601|al1|wc0.686|cp43.1|pdl0.348|pwl0.137|dh0.558|dl0.297|wh2.392|wl0.381,20220927.0,20220928.0,DAILY_REOPEN,BUY,1.0,18:00,D80,1.0,8.0,11354.25,59.0,CHOP,0.04,0.026,0.066,0.142,1.0,1.0,0.686,43.1,0.348,0.137,0.558,0.297,2.392,0.381,,,0.068,0.06,IMM1800_WEAK,2022-09-27 18:00:00,NQ09B BUY WEEKDAY 1800 STOP,11360.0,-29.5,4.5,2022-09-27 18:00:00,11360.75,NQ09B|clock20220927|trade20220928|classDAILY_REOPEN|routeIMM1800_WEAK|sideSELL|q1|tim18:00|tmD80|sp1.00|tp8.00|ref11354.25|r300.068|gate.06|risk59.00|s60CHOP|r10.04|r20.026|r600.066|rg600.142|ef601|al1|wc0.686|cp43.1|pdl0.348|pwl0.137|dh0.558|dl0.297|wh2.392|wl0.381,2022-09-27 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,11362.0,-29.5,4.5,2022-09-27 18:00:00,SKIP,-59.0,2022,2022-09,Tuesday,18:00,WEEKDAY_WEAK
1098,2022-09-28 09:30:00,11331.25,NQ09B|clock20220928|trade20220928|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11330.75|risk118.00|s60EXPANSION|r10.027|r20.15|r600.178|rg600.297|ef601|al1|wc0.648|cp0.1|pdl0.291|pwl0.112|dh0.722|dl0.296|wh2.461|wl0.309,20220928.0,20220928.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11330.75,118.0,EXPANSION,0.027,0.15,0.178,0.297,1.0,1.0,0.648,0.1,0.291,0.112,0.722,0.296,2.461,0.309,,,,,,2022-09-28 09:30:00,NQ09B BUY NY STOP,11330.0,-59.0,9.0,2022-09-28 09:30:00,11330.75,NQ09B|clock20220928|trade20220928|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11330.75|risk118.00|s60EXPANSION|r10.027|r20.15|r600.178|rg600.297|ef601|al1|wc0.648|cp0.1|pdl0.291|pwl0.112|dh0.722|dl0.296|wh2.461|wl0.309,2022-09-28 09:30:00,NQ09B SELL NY STOP,11332.0,-59.0,9.0,2022-09-28 09:30:00,SKIP,-118.0,2022,2022-09,Wednesday,09:30,NY
1099,2022-09-29 09:30:00,11387.25,NQ09B|clock20220929|trade20220929|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11386.00|risk118.00|s60NORMAL|r10.047|r2-0.167|r60-0.12|rg600.28|ef600.56|al0|wc0.529|cp0.1|pdl0.518|pwl0.172|dh0.671|dl0.721|wh2.224|wl0.463,20220929.0,20220929.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11386.0,118.0,NORMAL,0.047,-0.167,-0.12,0.28,0.56,0.0,0.529,0.1,0.518,0.172,0.671,0.721,2.224,0.463,,,,,,2022-09-29 09:30:00,NQ09B BUY NY N130 TP2,11400.0,501.0,9.0,2022-09-29 09:30:00,11386.75,NQ09B|clock20220929|trade20220929|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11386.00|risk118.00|s60NORMAL|r10.047|r2-0.167|r60-0.12|rg600.28|ef600.56|al0|wc0.529|cp0.1|pdl0.518|pwl0.172|dh0.671|dl0.721|wh2.224|wl0.463,2022-09-29 09:30:00,NQ09B SELL NY STOP,11388.0,-59.0,9.0,2022-09-29 09:30:00,BUY,442.0,2022,2022-09,Thursday,09:30,NY
1100,2022-09-30 09:30:00,11186.75,NQ09B|clock20220930|trade20220930|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11186.50|risk118.00|s60SHOCK|r1-0.154|r2-0.153|r60-0.307|rg600.372|ef600.995|al1|wc0.491|cp0.1|pdl0.2|pwl-0.047|dh1.091|dl0.272|wh2.733|wl0.122,20220930.0,20220930.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11186.5,118.0,SHOCK,-0.154,-0.153,-0.307,0.372,0.995,1.0,0.491,0.1,0.2,-0.047,1.091,0.272,2.733,0.122,,,,,,2022-09-30 09:30:00,NQ09B BUY NY STOP,11185.5,-59.0,9.0,2022-09-30 09:30:00,11186.25,NQ09B|clock20220930|trade20220930|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11186.50|risk118.00|s60SHOCK|r1-0.154|r2-0.153|r60-0.307|rg600.372|ef600.995|al1|wc0.491|cp0.1|pdl0.2|pwl-0.047|dh1.091|dl0.272|wh2.733|wl0.122,2022-09-30 09:30:00,NQ09B SELL NY N130 TP2,11173.5,501.0,9.0,2022-09-30 09:30:00,SELL,442.0,2022,2022-09,Friday,09:30,NY
1101,2022-10-02 18:00:00,11030.25,NQ09B|clock20221002|trade20221003|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref11058.25|pdr-0.905|pwr-1.556|r300.069|gate.06|risk118.00|s60NORMAL|r1-0.032|r20.115|r600.08|rg600.169|ef600.531|al0|wc0.384|cp32.1|pdl-0.07|pwl-0.187|dh1.458|dl0.095|wh3.101|wl0.489,20221002.0,20221003.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,11058.25,118.0,NORMAL,-0.032,0.115,0.08,0.169,0.531,0.0,0.384,32.1,-0.07,-0.187,1.458,0.095,3.101,0.489,-0.905,-1.556,0.069,0.06,,2022-10-02 18:00:00,NQ09B BUY WEEKLY STOP,11029.0,-59.0,9.0,2022-10-02 18:00:00,11029.75,NQ09B|clock20221002|trade20221003|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref11058.25|pdr-0.905|pwr-1.556|r300.069|gate.06|risk118.00|s60NORMAL|r1-0.032|r20.115|r600.08|rg600.169|ef600.531|al0|wc0.384|cp32.1|pdl-0.07|pwl-0.187|dh1.458|dl0.095|wh3.101|wl0.489,2022-10-02 18:00:00,NQ09B SELL WEEKLY STOP,11031.0,-59.0,9.0,2022-10-02 18:00:00,SKIP,-118.0,2022,2022-10,Sunday,18:00,WEEKLY
1102,2022-10-03 09:30:00,11105.25,NQ09B|clock20221003|trade20221003|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11105.00|risk118.00|s60CHOP|r1-0.001|r20.098|r600.097|rg600.206|ef600.971|al0|wc0.635|cp18.1|pdl0.242|pwl0.137|dh0.725|dl0.232|wh1.462|wl0.232,20221003.0,20221003.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11105.0,118.0,CHOP,-0.001,0.098,0.097,0.206,0.971,0.0,0.635,18.1,0.242,0.137,0.725,0.232,1.462,0.232,,,,,,2022-10-03 09:30:00,NQ09B BUY NY N130 TP2,11118.0,501.0,9.0,2022-10-03 09:30:00,11104.75,NQ09B|clock20221003|trade20221003|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11105.00|risk118.00|s60CHOP|r1-0.001|r20.098|r600.097|rg600.206|ef600.971|al0|wc0.635|cp18.1|pdl0.242|pwl0.137|dh0.725|dl0.232|wh1.462|wl0.232,2022-10-03 09:30:00,NQ09B SELL NY STOP,11106.0,-59.0,9.0,2022-10-03 09:30:00,BUY,442.0,2022,2022-10,Monday,09:30,NY
1103,2022-10-04 09:30:00,11516.25,NQ09B|clock20221004|trade20221004|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11515.50|risk118.00|s60CHOP|r10.004|r20.032|r600.037|rg600.097|ef601|al1|wc0.764|cp61.1|pdl1.336|pwl0.834|dh0.441|dl1.753|wh0.275|wl1.378,20221004.0,20221004.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11515.5,118.0,CHOP,0.004,0.032,0.037,0.097,1.0,1.0,0.764,61.1,1.336,0.834,0.441,1.753,0.275,1.378,,,,,,2022-10-04 09:30:00,NQ09B BUY NY STOP,11515.0,-59.0,9.0,2022-10-04 09:30:00,11515.75,NQ09B|clock20221004|trade20221004|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11515.50|risk118.00|s60CHOP|r10.004|r20.032|r600.037|rg600.097|ef601|al1|wc0.764|cp61.1|pdl1.336|pwl0.834|dh0.441|dl1.753|wh0.275|wl1.378,2022-10-04 09:30:00,NQ09B SELL NY STOP,11517.0,-59.0,9.0,2022-10-04 09:30:00,SKIP,-118.0,2022,2022-10,Tuesday,09:30,NY
1104,2022-10-05 09:30:00,11486.25,NQ09B|clock20221005|trade20221005|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11485.50|risk118.00|s60EXPANSION|r1-0.074|r2-0.036|r60-0.113|rg600.173|ef601|al1|wc0.505|cp31.1|pdl0.518|pwl0.783|dh0.528|dl0.568|wh0.356|wl1.285,20221005.0,20221005.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11485.5,118.0,EXPANSION,-0.074,-0.036,-0.113,0.173,1.0,1.0,0.505,31.1,0.518,0.783,0.528,0.568,0.356,1.285,,,,,,2022-10-05 09:30:00,NQ09B BUY NY STOP,11485.0,-59.0,9.0,2022-10-05 09:30:00,11485.75,NQ09B|clock20221005|trade20221005|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11485.50|risk118.00|s60EXPANSION|r1-0.074|r2-0.036|r60-0.113|rg600.173|ef601|al1|wc0.505|cp31.1|pdl0.518|pwl0.783|dh0.528|dl0.568|wh0.356|wl1.285,2022-10-05 09:30:00,NQ09B SELL NY STOP,11487.0,-59.0,9.0,2022-10-05 09:30:00,SKIP,-118.0,2022,2022-10,Wednesday,09:30,NY
1105,2022-10-06 09:30:00,11590.75,NQ09B|clock20221006|trade20221006|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11590.50|risk118.00|s60CHOP|r1-0.087|r20.089|r600.002|rg600.241|ef600.012|al0|wc0.484|cp4.1|pdl0.65|pwl0.961|dh0.337|dl0.626|wh0.064|wl1.582,20221006.0,20221006.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11590.5,118.0,CHOP,-0.087,0.089,0.002,0.241,0.012,0.0,0.484,4.1,0.65,0.961,0.337,0.626,0.064,1.582,,,,,,2022-10-06 09:30:00,NQ09B BUY NY STOP,11589.5,-59.0,9.0,2022-10-06 09:30:00,11590.25,NQ09B|clock20221006|trade20221006|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11590.50|risk118.00|s60CHOP|r1-0.087|r20.089|r600.002|rg600.241|ef600.012|al0|wc0.484|cp4.1|pdl0.65|pwl0.961|dh0.337|dl0.626|wh0.064|wl1.582,2022-10-06 09:30:00,NQ09B SELL NY STOP,11591.5,-59.0,9.0,2022-10-06 09:30:00,SKIP,-118.0,2022,2022-10,Thursday,09:30,NY
