trade_number,buy_entry_time,buy_entry_price,buy_entry_signal,clock,trade,class,side,q,tim,tm,sp,tp,ref,risk,s60,r1,r2,r60,rg60,ef60,al,wc,cp,pdl,pwl,dh,dl,wh,wl,pdr,pwr,r30,gate,route,buy_exit_time,buy_exit_signal,buy_exit_price,buy_net,buy_commission,sell_entry_time,sell_entry_price,sell_entry_signal,sell_exit_time,sell_exit_signal,sell_exit_price,sell_net,sell_commission,entry_time,label,pair_net,year,month,day_of_week,hour_minute,route_class
1106,2022-10-07 09:30:00,11346.0,NQ09B|clock20221007|trade20221007|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11345.75|risk118.00|s60SHOCK|r1-0.021|r2-0.549|r60-0.569|rg600.699|ef600.997|al1|wc0.34|cp0.1|pdl-0.71|pwl0.546|dh1.102|dl0.458|wh0.768|wl0.923,20221007.0,20221007.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11345.75,118.0,SHOCK,-0.021,-0.549,-0.569,0.699,0.997,1.0,0.34,0.1,-0.71,0.546,1.102,0.458,0.768,0.923,,,,,,2022-10-07 09:30:00,NQ09B BUY NY STOP,11344.75,-59.0,9.0,2022-10-07 09:30:00,11345.5,NQ09B|clock20221007|trade20221007|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11345.75|risk118.00|s60SHOCK|r1-0.021|r2-0.549|r60-0.569|rg600.699|ef600.997|al1|wc0.34|cp0.1|pdl-0.71|pwl0.546|dh1.102|dl0.458|wh0.768|wl0.923,2022-10-07 09:30:00,NQ09B SELL NY STOP,11346.75,-59.0,9.0,2022-10-07 09:30:00,SKIP,-118.0,2022,2022-10,Friday,09:30,NY
1107,2022-10-09 18:00:00,11068.0,NQ09B|clock20221009|trade20221010|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref11096.25|pdr-0.247|pwr-0.938|r300.033|gate.06|risk118.00|s60CHOP|r10.018|r2-0.026|r60-0.008|rg600.057|ef600.18|al0|wc0.512|cp77.1|pdl-1.822|pwl0.122|dh1.818|dl1.174|wh1.484|wl0.207,20221009.0,20221010.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,11096.25,118.0,CHOP,0.018,-0.026,-0.008,0.057,0.18,0.0,0.512,77.1,-1.822,0.122,1.818,1.174,1.484,0.207,-0.247,-0.938,0.033,0.06,,2022-10-09 18:00:00,NQ09B BUY WEEKLY STOP,11066.75,-59.0,9.0,2022-10-09 18:00:00,11067.5,NQ09B|clock20221009|trade20221010|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref11096.25|pdr-0.247|pwr-0.938|r300.033|gate.06|risk118.00|s60CHOP|r10.018|r2-0.026|r60-0.008|rg600.057|ef600.18|al0|wc0.512|cp77.1|pdl-1.822|pwl0.122|dh1.818|dl1.174|wh1.484|wl0.207,2022-10-09 18:00:00,NQ09B SELL WEEKLY W80,11059.5,311.0,9.0,2022-10-09 18:00:00,SELL,252.0,2022,2022-10,Sunday,18:00,WEEKLY
1108,2022-10-10 09:30:00,11109.0,NQ09B|clock20221010|trade20221010|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11108.25|risk118.00|s60NORMAL|r1-0.052|r20.148|r600.096|rg600.202|ef600.481|al0|wc0.247|cp19.1|pdl0.125|pwl0.259|dh1.264|dl0.18|wh1.722|wl0.603,20221010.0,20221010.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11108.25,118.0,NORMAL,-0.052,0.148,0.096,0.202,0.481,0.0,0.247,19.1,0.125,0.259,1.264,0.18,1.722,0.603,,,,,,2022-10-10 09:30:00,NQ09B BUY NY N130 TP2,11121.75,501.0,9.0,2022-10-10 09:30:00,11108.5,NQ09B|clock20221010|trade20221010|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11108.25|risk118.00|s60NORMAL|r1-0.052|r20.148|r600.096|rg600.202|ef600.481|al0|wc0.247|cp19.1|pdl0.125|pwl0.259|dh1.264|dl0.18|wh1.722|wl0.603,2022-10-10 09:30:00,NQ09B SELL NY STOP,11109.75,-59.0,9.0,2022-10-10 09:30:00,BUY,442.0,2022,2022-10,Monday,09:30,NY
1109,2022-10-11 09:30:00,10920.25,NQ09B|clock20221011|trade20221011|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref10919.75|risk118.00|s60EXPANSION|r1-0.066|r2-0.094|r60-0.159|rg600.213|ef600.991|al1|wc0.311|cp15.1|pdl0.166|pwl0.035|dh0.613|dl0.122|wh2.291|wl0.082,20221011.0,20221011.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,10919.75,118.0,EXPANSION,-0.066,-0.094,-0.159,0.213,0.991,1.0,0.311,15.1,0.166,0.035,0.613,0.122,2.291,0.082,,,,,,2022-10-11 09:30:00,NQ09B BUY NY N130 TP2,10933.0,501.0,9.0,2022-10-11 09:30:00,10919.75,NQ09B|clock20221011|trade20221011|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref10919.75|risk118.00|s60EXPANSION|r1-0.066|r2-0.094|r60-0.159|rg600.213|ef600.991|al1|wc0.311|cp15.1|pdl0.166|pwl0.035|dh0.613|dl0.122|wh2.291|wl0.082,2022-10-11 09:30:00,NQ09B SELL NY STOP,10921.0,-59.0,9.0,2022-10-11 09:30:00,BUY,442.0,2022,2022-10,Tuesday,09:30,NY
1110,2022-10-11 18:00:00,10875.25,NQ09B|clock20221011|trade20221012|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideBUY|q2|tim18:00|tmD80|sp1.00|tp8.00|ref10880.50|r300.078|gate.06|risk118.00|s60EXPANSION|r10.061|r20.042|r600.104|rg600.117|ef601|al1|wc0.305|cp53.1|pdl0.014|pwl-0.012|dh0.724|dl0.011|wh2.402|wl0.029,20221011.0,20221012.0,DAILY_REOPEN,BUY,2.0,18:00,D80,1.0,8.0,10880.5,118.0,EXPANSION,0.061,0.042,0.104,0.117,1.0,1.0,0.305,53.1,0.014,-0.012,0.724,0.011,2.402,0.029,,,0.078,0.06,IMM1800_PREMIUM,2022-10-11 18:00:00,NQ09B BUY WEEKDAY 1800 STOP,10874.0,-59.0,9.0,2022-10-11 18:00:00,10874.75,NQ09B|clock20221011|trade20221012|classDAILY_REOPEN|routeIMM1800_PREMIUM|sideSELL|q2|tim18:00|tmD80|sp1.00|tp8.00|ref10880.50|r300.078|gate.06|risk118.00|s60EXPANSION|r10.061|r20.042|r600.104|rg600.117|ef601|al1|wc0.305|cp53.1|pdl0.014|pwl-0.012|dh0.724|dl0.011|wh2.402|wl0.029,2022-10-11 18:00:00,NQ09B SELL WEEKDAY 1800 STOP,10876.0,-59.0,9.0,2022-10-11 18:00:00,SKIP,-118.0,2022,2022-10,Tuesday,18:00,WEEKDAY_PREMIUM
1111,2022-10-12 09:30:00,10865.75,NQ09B|clock20221012|trade20221012|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref10865.00|risk118.00|s60EXPANSION|r1-0.065|r2-0.18|r60-0.247|rg600.31|ef601|al1|wc0.415|cp0.1|pdl0.359|pwl-0.031|dh0.502|dl0.281|wh2.486|wl0.074,20221012.0,20221012.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,10865.0,118.0,EXPANSION,-0.065,-0.18,-0.247,0.31,1.0,1.0,0.415,0.1,0.359,-0.031,0.502,0.281,2.486,0.074,,,,,,2022-10-12 09:30:00,NQ09B BUY NY STOP,10864.5,-59.0,9.0,2022-10-12 09:30:00,10865.25,NQ09B|clock20221012|trade20221012|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref10865.00|risk118.00|s60EXPANSION|r1-0.065|r2-0.18|r60-0.247|rg600.31|ef601|al1|wc0.415|cp0.1|pdl0.359|pwl-0.031|dh0.502|dl0.281|wh2.486|wl0.074,2022-10-12 09:30:00,NQ09B SELL NY STOP,10866.5,-59.0,9.0,2022-10-12 09:30:00,SKIP,-118.0,2022,2022-10,Wednesday,09:30,NY
1112,2022-10-13 09:30:00,10523.25,NQ09B|clock20221013|trade20221013|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref10522.75|risk118.00|s60SHOCK|r1-0.057|r2-1.125|r60-1.185|rg601.299|ef601|al1|wc0.209|cp0.1|pdl-1.651|pwl-0.439|dh1.354|dl0.844|wh3.601|wl1.098,20221013.0,20221013.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,10522.75,118.0,SHOCK,-0.057,-1.125,-1.185,1.299,1.0,1.0,0.209,0.1,-1.651,-0.439,1.354,0.844,3.601,1.098,,,,,,2022-10-13 09:30:00,NQ09B BUY NY N130 TP2,10536.0,501.0,9.0,2022-10-13 09:30:00,10522.75,NQ09B|clock20221013|trade20221013|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref10522.75|risk118.00|s60SHOCK|r1-0.057|r2-1.125|r60-1.185|rg601.299|ef601|al1|wc0.209|cp0.1|pdl-1.651|pwl-0.439|dh1.354|dl0.844|wh3.601|wl1.098,2022-10-13 09:30:00,NQ09B SELL NY STOP,10524.0,-59.0,9.0,2022-10-13 09:30:00,BUY,442.0,2022,2022-10,Thursday,09:30,NY
1113,2022-10-14 09:30:00,11181.5,NQ09B|clock20221014|trade20221014|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11181.50|risk118.00|s60SHOCK|r1-0.107|r20.415|r600.308|rg600.601|ef600.589|al0|wc0.334|cp0.1|pdl1.059|pwl0.347|dh0.108|dl1.945|wh1.53|wl0.812,20221014.0,20221014.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11181.5,118.0,SHOCK,-0.107,0.415,0.308,0.601,0.589,0.0,0.334,0.1,1.059,0.347,0.108,1.945,1.53,0.812,,,,,,2022-10-14 09:30:00,NQ09B BUY NY N130 TP2,11194.25,501.0,9.0,2022-10-14 09:30:00,11181.0,NQ09B|clock20221014|trade20221014|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11181.50|risk118.00|s60SHOCK|r1-0.107|r20.415|r600.308|rg600.601|ef600.589|al0|wc0.334|cp0.1|pdl1.059|pwl0.347|dh0.108|dl1.945|wh1.53|wl0.812,2022-10-14 09:30:00,NQ09B SELL NY STOP,11182.25,-59.0,9.0,2022-10-14 09:30:00,BUY,442.0,2022,2022-10,Friday,09:30,NY
1114,2022-10-16 18:00:00,10720.25,NQ09B|clock20221016|trade20221017|classWEEKLY_OPEN|sideBUY|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref10746.25|pdr0.627|pwr0.2|r300.031|gate.06|risk118.00|s60CHOP|r1-0.011|r20.007|r60-0.004|rg600.068|ef600.231|al0|wc0.817|cp73.1|pdl0.397|pwl-0.172|dh1.107|dl0.73|wh2.745|wl0.403,20221016.0,20221017.0,WEEKLY_OPEN,BUY,2.0,WEEKLY 18:00,W80,1.0,8.0,10746.25,118.0,CHOP,-0.011,0.007,-0.004,0.068,0.231,0.0,0.817,73.1,0.397,-0.172,1.107,0.73,2.745,0.403,0.627,0.2,0.031,0.06,,2022-10-16 18:00:00,NQ09B BUY WEEKLY STOP,10719.0,-59.0,9.0,2022-10-16 18:00:00,10719.75,NQ09B|clock20221016|trade20221017|classWEEKLY_OPEN|sideSELL|q2|timWEEKLY 18:00|tmW80|sp1.00|tp8.00|ref10746.25|pdr0.627|pwr0.2|r300.031|gate.06|risk118.00|s60CHOP|r1-0.011|r20.007|r60-0.004|rg600.068|ef600.231|al0|wc0.817|cp73.1|pdl0.397|pwl-0.172|dh1.107|dl0.73|wh2.745|wl0.403,2022-10-16 18:00:00,NQ09B SELL WEEKLY STOP,10721.0,-59.0,9.0,2022-10-16 18:00:00,SKIP,-118.0,2022,2022-10,Sunday,18:00,WEEKLY
1115,2022-10-17 09:30:00,11001.5,NQ09B|clock20221017|trade20221017|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11001.25|risk118.00|s60SHOCK|r10.153|r20.103|r600.257|rg600.296|ef601|al1|wc0.18|cp0.1|pdl0.521|pwl0.672|dh0.681|dl0.741|wh0.681|wl1.395,20221017.0,20221017.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11001.25,118.0,SHOCK,0.153,0.103,0.257,0.296,1.0,1.0,0.18,0.1,0.521,0.672,0.681,0.741,0.681,1.395,,,,,,2022-10-17 09:30:00,NQ09B BUY NY STOP,11000.25,-59.0,9.0,2022-10-17 09:30:00,11001.0,NQ09B|clock20221017|trade20221017|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11001.25|risk118.00|s60SHOCK|r10.153|r20.103|r600.257|rg600.296|ef601|al1|wc0.18|cp0.1|pdl0.521|pwl0.672|dh0.681|dl0.741|wh0.681|wl1.395,2022-10-17 09:30:00,NQ09B SELL NY STOP,11002.25,-59.0,9.0,2022-10-17 09:30:00,SKIP,-118.0,2022,2022-10,Monday,09:30,NY
1116,2022-10-18 09:30:00,11403.75,NQ09B|clock20221018|trade20221018|classNY|sideBUY|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11403.25|risk118.00|s60EXPANSION|r10.031|r20.076|r600.109|rg600.142|ef601|al1|wc0.55|cp43.1|pdl1.593|pwl1.195|dh0.686|dl1.842|wh0.4|wl2.451,20221018.0,20221018.0,NY,BUY,2.0,NY0930,N130 TP2,1.0,12.75,11403.25,118.0,EXPANSION,0.031,0.076,0.109,0.142,1.0,1.0,0.55,43.1,1.593,1.195,0.686,1.842,0.4,2.451,,,,,,2022-10-18 09:30:00,NQ09B BUY NY STOP,11402.5,-59.0,9.0,2022-10-18 09:30:00,11403.25,NQ09B|clock20221018|trade20221018|classNY|sideSELL|q2|timNY0930|tmN130 TP2|sp1.00|tp12.75|ref11403.25|risk118.00|s60EXPANSION|r10.031|r20.076|r600.109|rg600.142|ef601|al1|wc0.55|cp43.1|pdl1.593|pwl1.195|dh0.686|dl1.842|wh0.4|wl2.451,2022-10-18 09:30:00,NQ09B SELL NY N130 TP2,11390.5,501.0,9.0,2022-10-18 09:30:00,SELL,442.0,2022,2022-10,Tuesday,09:30,NY
