side,Trade number,route,entry_dt,exit_dt,net,points,at_route_cap,exit_bar_utc,authority_files_overlapping_exit_bar,full_5m_covered,full_30m_covered,best_authority_rank
BUY,333,PREMIUM,2020-10-19 18:00:00,2020-10-19 18:00:00,311.0,8.0,False,2020-10-19T22:00:00+00:00,0,False,False,0
BUY,341,NY,2020-10-27 09:30:00,2020-10-27 09:30:00,501.0,12.75,False,2020-10-27T13:30:00+00:00,0,False,False,0
BUY,343,NY,2020-10-28 09:30:00,2020-10-28 09:30:00,501.0,12.75,False,2020-10-28T13:30:00+00:00,0,False,False,0
BUY,344,PREMIUM,2020-10-28 18:00:00,2020-10-28 18:00:00,311.0,8.0,False,2020-10-28T22:00:00+00:00,0,False,False,0
BUY,349,NY,2020-11-02 09:30:00,2020-11-02 09:30:00,501.0,12.75,False,2020-11-02T14:30:00+00:00,0,False,False,0
BUY,353,PREMIUM,2020-11-04 18:00:00,2020-11-04 18:00:00,311.0,8.0,False,2020-11-04T23:00:00+00:00,0,False,False,0
BUY,356,NY,2020-11-06 09:30:00,2020-11-06 09:30:00,501.0,12.75,False,2020-11-06T14:30:00+00:00,0,False,False,0
BUY,358,NY,2020-11-09 09:30:00,2020-11-09 09:30:00,501.0,12.75,False,2020-11-09T14:30:00+00:00,0,False,False,0
BUY,365,WEEKLY,2020-11-15 18:00:00,2020-11-15 18:00:00,311.0,8.0,False,2020-11-15T23:00:00+00:00,0,False,False,0
BUY,371,NY,2020-11-19 09:30:00,2020-11-19 09:30:00,501.0,12.75,False,2020-11-19T14:30:00+00:00,0,False,False,0
BUY,384,WEAK,2020-12-01 18:00:00,2020-12-01 18:00:00,155.5,8.0,False,2020-12-01T23:00:00+00:00,0,False,False,0
BUY,393,NY,2020-12-10 09:30:00,2020-12-10 09:30:00,501.0,12.75,False,2020-12-10T14:30:00+00:00,0,False,False,0
BUY,394,NY,2020-12-11 09:30:00,2020-12-11 09:30:00,501.0,12.75,False,2020-12-11T14:30:00+00:00,0,False,False,0
BUY,397,NY,2020-12-15 09:30:00,2020-12-15 09:30:00,501.0,12.75,False,2020-12-15T14:30:00+00:00,0,False,False,0
BUY,401,NY,2020-12-18 09:30:00,2020-12-18 09:30:00,501.0,12.75,False,2020-12-18T14:30:00+00:00,0,False,False,0
BUY,402,WEEKLY,2020-12-20 18:00:00,2020-12-20 18:00:00,311.0,8.0,False,2020-12-20T23:00:00+00:00,0,False,False,0
BUY,411,WEAK,2020-12-30 18:00:00,2020-12-30 18:00:00,155.5,8.0,False,2020-12-30T23:00:00+00:00,0,False,False,0
BUY,413,WEEKLY,2021-01-03 18:00:00,2021-01-03 18:00:00,311.0,8.0,False,2021-01-03T23:00:00+00:00,0,False,False,0
BUY,418,NY,2021-01-06 09:30:00,2021-01-06 09:30:00,501.0,12.75,False,2021-01-06T14:30:00+00:00,0,False,False,0
BUY,422,NY,2021-01-08 09:30:00,2021-01-08 09:30:00,501.0,12.75,False,2021-01-08T14:30:00+00:00,0,False,False,0
BUY,423,WEEKLY,2021-01-10 18:00:00,2021-01-10 18:00:00,311.0,8.0,False,2021-01-10T23:00:00+00:00,0,False,False,0
BUY,436,WEAK,2021-01-20 18:00:00,2021-01-20 18:00:00,155.5,8.0,False,2021-01-20T23:00:00+00:00,0,False,False,0
BUY,438,NY,2021-01-22 09:30:00,2021-01-22 09:30:00,501.0,12.75,False,2021-01-22T14:30:00+00:00,0,False,False,0
BUY,447,PREMIUM,2021-01-28 18:00:00,2021-01-28 18:00:00,311.0,8.0,False,2021-01-28T23:00:00+00:00,0,False,False,0
BUY,449,WEEKLY,2021-01-31 18:00:00,2021-01-31 18:00:00,311.0,8.0,False,2021-01-31T23:00:00+00:00,0,False,False,0
BUY,454,NY,2021-02-03 09:30:00,2021-02-03 09:30:00,501.0,12.75,False,2021-02-03T14:30:00+00:00,0,False,False,0
BUY,455,PREMIUM,2021-02-03 18:00:00,2021-02-03 18:00:00,311.0,8.0,False,2021-02-03T23:00:00+00:00,0,False,False,0
BUY,456,NY,2021-02-04 09:30:00,2021-02-04 09:30:00,501.0,12.75,False,2021-02-04T14:30:00+00:00,0,False,False,0
BUY,460,NY,2021-02-09 09:30:00,2021-02-09 09:30:00,501.0,12.75,False,2021-02-09T14:30:00+00:00,0,False,False,0
BUY,465,WEEKLY,2021-02-14 18:00:00,2021-02-14 18:00:00,311.0,8.0,False,2021-02-14T23:00:00+00:00,0,False,False,0
BUY,469,NY,2021-02-17 09:30:00,2021-02-17 09:30:00,501.0,12.75,False,2021-02-17T14:30:00+00:00,0,False,False,0
BUY,472,WEEKLY,2021-02-21 18:00:00,2021-02-21 18:00:00,311.0,8.0,False,2021-02-21T23:00:00+00:00,0,False,False,0
BUY,473,NY,2021-02-22 09:30:00,2021-02-22 09:30:00,501.0,12.75,False,2021-02-22T14:30:00+00:00,0,False,False,0
BUY,474,NY,2021-02-23 09:30:00,2021-02-23 09:30:00,501.0,12.75,False,2021-02-23T14:30:00+00:00,0,False,False,0
BUY,479,PREMIUM,2021-02-25 18:00:00,2021-02-25 18:00:00,311.0,8.0,False,2021-02-25T23:00:00+00:00,0,False,False,0
BUY,482,NY,2021-03-01 09:30:00,2021-03-01 09:30:00,501.0,12.75,False,2021-03-01T14:30:00+00:00,0,False,False,0
BUY,488,WEAK,2021-03-04 18:00:00,2021-03-04 18:00:00,155.5,8.0,False,2021-03-04T23:00:00+00:00,0,False,False,0
BUY,489,NY,2021-03-05 09:30:00,2021-03-05 09:30:00,501.0,12.75,False,2021-03-05T14:30:00+00:00,0,False,False,0
BUY,497,WEEKLY,2021-03-14 18:00:00,2021-03-14 18:00:00,311.0,8.0,False,2021-03-14T22:00:00+00:00,0,False,False,0
BUY,499,NY,2021-03-16 09:30:00,2021-03-16 09:30:00,501.0,12.75,False,2021-03-16T13:30:00+00:00,0,False,False,0
BUY,503,WEAK,2021-03-18 18:00:00,2021-03-18 18:00:00,155.5,8.0,False,2021-03-18T22:00:00+00:00,0,False,False,0
BUY,506,NY,2021-03-22 09:30:00,2021-03-22 09:30:00,501.0,12.75,False,2021-03-22T13:30:00+00:00,0,False,False,0
BUY,510,NY,2021-03-25 09:30:00,2021-03-25 09:30:00,501.0,12.75,False,2021-03-25T13:30:00+00:00,0,False,False,0
BUY,514,NY,2021-03-30 09:30:00,2021-03-30 09:30:00,501.0,12.75,False,2021-03-30T13:30:00+00:00,0,False,False,0
BUY,522,NY,2021-04-08 09:30:00,2021-04-08 09:30:00,501.0,12.75,False,2021-04-08T13:30:00+00:00,0,False,False,0
BUY,532,WEEKLY,2021-04-18 18:00:00,2021-04-18 18:00:00,311.0,8.0,False,2021-04-18T22:00:00+00:00,0,False,False,0
