extra_ticks,quantity_per_active_side,candidate,max_simultaneous_contracts,n,net,pf,expectancy,hit_rate,max_drawdown,worst_session,cvar_05
1,3,PAIRED_Q_EACH,6,22,-2919.0,0.3099290780141844,-132.6818181818182,0.09090909090909091,-2919.0,-492.0,-409.5
1,3,ALWAYS_BUY,3,22,-1242.0,0.43248800548320765,-56.45454545454545,0.045454545454545456,-1360.5,-253.5,-216.0
1,3,ALWAYS_SELL,3,22,-1677.0,0.2878980891719745,-76.22727272727273,0.09090909090909091,-1677.0,-328.5,-283.5
1,3,ROUTE_STATIC,3,22,-1452.0,0.3183098591549296,-66.0,0.09090909090909091,-1452.0,-238.5,-208.5
1,3,ORACLE_DIRECTION,3,22,-72.0,0.9575596816976127,-3.272727272727273,0.13636363636363635,-738.0,-163.5,-133.5
1,3,ORACLE_SKIP,3,22,1624.5,,73.8409090909091,0.13636363636363635,0.0,0.0,0.0
1,4,PAIRED_Q_EACH,8,22,-3892.0,0.3099290780141844,-176.9090909090909,0.09090909090909091,-3892.0,-656.0,-546.0
1,4,ALWAYS_BUY,4,22,-1656.0,0.43248800548320765,-75.27272727272727,0.045454545454545456,-1814.0,-338.0,-288.0
1,4,ALWAYS_SELL,4,22,-2236.0,0.2878980891719745,-101.63636363636364,0.09090909090909091,-2236.0,-438.0,-378.0
1,4,ROUTE_STATIC,4,22,-1936.0,0.3183098591549296,-88.0,0.09090909090909091,-1936.0,-318.0,-278.0
1,4,ORACLE_DIRECTION,4,22,-96.0,0.9575596816976127,-4.363636363636363,0.13636363636363635,-984.0,-218.0,-178.0
1,4,ORACLE_SKIP,4,22,2166.0,,98.45454545454545,0.13636363636363635,0.0,0.0,0.0
1,5,PAIRED_Q_EACH,10,22,-4865.0,0.3099290780141844,-221.13636363636363,0.09090909090909091,-4865.0,-820.0,-682.5
1,5,ALWAYS_BUY,5,22,-2070.0,0.43248800548320765,-94.0909090909091,0.045454545454545456,-2267.5,-422.5,-360.0
1,5,ALWAYS_SELL,5,22,-2795.0,0.2878980891719745,-127.04545454545455,0.09090909090909091,-2795.0,-547.5,-472.5
1,5,ROUTE_STATIC,5,22,-2420.0,0.3183098591549296,-110.0,0.09090909090909091,-2420.0,-397.5,-347.5
1,5,ORACLE_DIRECTION,5,22,-120.0,0.9575596816976127,-5.454545454545454,0.13636363636363635,-1230.0,-272.5,-222.5
1,5,ORACLE_SKIP,5,22,2707.5,,123.06818181818181,0.13636363636363635,0.0,0.0,0.0
1,6,PAIRED_Q_EACH,12,22,-5838.0,0.3099290780141844,-265.3636363636364,0.09090909090909091,-5838.0,-984.0,-819.0
1,6,ALWAYS_BUY,6,22,-2484.0,0.43248800548320765,-112.9090909090909,0.045454545454545456,-2721.0,-507.0,-432.0
1,6,ALWAYS_SELL,6,22,-3354.0,0.2878980891719745,-152.45454545454547,0.09090909090909091,-3354.0,-657.0,-567.0
1,6,ROUTE_STATIC,6,22,-2904.0,0.3183098591549296,-132.0,0.09090909090909091,-2904.0,-477.0,-417.0
1,6,ORACLE_DIRECTION,6,22,-144.0,0.9575596816976127,-6.545454545454546,0.13636363636363635,-1476.0,-327.0,-267.0
1,6,ORACLE_SKIP,6,22,3249.0,,147.6818181818182,0.13636363636363635,0.0,0.0,0.0
1,7,PAIRED_Q_EACH,14,22,-6811.0,0.3099290780141844,-309.59090909090907,0.09090909090909091,-6811.0,-1148.0,-955.5
1,7,ALWAYS_BUY,7,22,-2898.0,0.43248800548320765,-131.72727272727272,0.045454545454545456,-3174.5,-591.5,-504.0
1,7,ALWAYS_SELL,7,22,-3913.0,0.2878980891719745,-177.86363636363637,0.09090909090909091,-3913.0,-766.5,-661.5
1,7,ROUTE_STATIC,7,22,-3388.0,0.3183098591549296,-154.0,0.09090909090909091,-3388.0,-556.5,-486.5
1,7,ORACLE_DIRECTION,7,22,-168.0,0.9575596816976127,-7.636363636363637,0.13636363636363635,-1722.0,-381.5,-311.5
1,7,ORACLE_SKIP,7,22,3790.5,,172.29545454545453,0.13636363636363635,0.0,0.0,0.0
1,8,PAIRED_Q_EACH,16,22,-7784.0,0.3099290780141844,-353.8181818181818,0.09090909090909091,-7784.0,-1312.0,-1092.0
1,8,ALWAYS_BUY,8,22,-3312.0,0.43248800548320765,-150.54545454545453,0.045454545454545456,-3628.0,-676.0,-576.0
1,8,ALWAYS_SELL,8,22,-4472.0,0.2878980891719745,-203.27272727272728,0.09090909090909091,-4472.0,-876.0,-756.0
1,8,ROUTE_STATIC,8,22,-3872.0,0.3183098591549296,-176.0,0.09090909090909091,-3872.0,-636.0,-556.0
1,8,ORACLE_DIRECTION,8,22,-192.0,0.9575596816976127,-8.727272727272727,0.13636363636363635,-1968.0,-436.0,-356.0
1,8,ORACLE_SKIP,8,22,4332.0,,196.9090909090909,0.13636363636363635,0.0,0.0,0.0
1,9,PAIRED_Q_EACH,18,22,-8757.0,0.3099290780141844,-398.04545454545456,0.09090909090909091,-8757.0,-1476.0,-1228.5
1,9,ALWAYS_BUY,9,22,-3726.0,0.43248800548320765,-169.36363636363637,0.045454545454545456,-4081.5,-760.5,-648.0
1,9,ALWAYS_SELL,9,22,-5031.0,0.2878980891719745,-228.6818181818182,0.09090909090909091,-5031.0,-985.5,-850.5
1,9,ROUTE_STATIC,9,22,-4356.0,0.3183098591549296,-198.0,0.09090909090909091,-4356.0,-715.5,-625.5
1,9,ORACLE_DIRECTION,9,22,-216.0,0.9575596816976127,-9.818181818181818,0.13636363636363635,-2214.0,-490.5,-400.5
1,9,ORACLE_SKIP,9,22,4873.5,,221.52272727272728,0.13636363636363635,0.0,0.0,0.0
1,10,PAIRED_Q_EACH,20,22,-9730.0,0.3099290780141844,-442.27272727272725,0.09090909090909091,-9730.0,-1640.0,-1365.0
1,10,ALWAYS_BUY,10,22,-4140.0,0.43248800548320765,-188.1818181818182,0.045454545454545456,-4535.0,-845.0,-720.0
1,10,ALWAYS_SELL,10,22,-5590.0,0.2878980891719745,-254.0909090909091,0.09090909090909091,-5590.0,-1095.0,-945.0
1,10,ROUTE_STATIC,10,22,-4840.0,0.3183098591549296,-220.0,0.09090909090909091,-4840.0,-795.0,-695.0
1,10,ORACLE_DIRECTION,10,22,-240.0,0.9575596816976127,-10.909090909090908,0.13636363636363635,-2460.0,-545.0,-445.0
1,10,ORACLE_SKIP,10,22,5415.0,,246.13636363636363,0.13636363636363635,0.0,0.0,0.0
2,1,PAIRED_Q_EACH,2,22,-1183.0,0.26521739130434785,-53.77272727272727,0.09090909090909091,-1183.0,-174.0,-146.5
2,1,ALWAYS_BUY,1,22,-519.0,0.378070701018574,-23.59090909090909,0.045454545454545456,-519.0,-89.5,-77.0
2,1,ALWAYS_SELL,1,22,-664.0,0.2497175141242938,-30.181818181818183,0.09090909090909091,-664.0,-114.5,-99.5
2,1,ROUTE_STATIC,1,22,-589.0,0.27283950617283953,-26.772727272727273,0.09090909090909091,-589.0,-84.5,-74.5
2,1,ORACLE_DIRECTION,1,22,-124.0,0.8122634367903103,-5.636363636363637,0.13636363636363635,-286.0,-59.5,-49.5
2,1,ORACLE_SKIP,1,22,536.5,,24.386363636363637,0.13636363636363635,0.0,0.0,0.0
2,2,PAIRED_Q_EACH,4,22,-2366.0,0.26521739130434785,-107.54545454545455,0.09090909090909091,-2366.0,-348.0,-293.0
2,2,ALWAYS_BUY,2,22,-1038.0,0.378070701018574,-47.18181818181818,0.045454545454545456,-1038.0,-179.0,-154.0
2,2,ALWAYS_SELL,2,22,-1328.0,0.2497175141242938,-60.36363636363637,0.09090909090909091,-1328.0,-229.0,-199.0
2,2,ROUTE_STATIC,2,22,-1178.0,0.27283950617283953,-53.54545454545455,0.09090909090909091,-1178.0,-169.0,-149.0
2,2,ORACLE_DIRECTION,2,22,-248.0,0.8122634367903103,-11.272727272727273,0.13636363636363635,-572.0,-119.0,-99.0
2,2,ORACLE_SKIP,2,22,1073.0,,48.77272727272727,0.13636363636363635,0.0,0.0,0.0
2,3,PAIRED_Q_EACH,6,22,-3549.0,0.26521739130434785,-161.3181818181818,0.09090909090909091,-3549.0,-522.0,-439.5
2,3,ALWAYS_BUY,3,22,-1557.0,0.378070701018574,-70.77272727272727,0.045454545454545456,-1557.0,-268.5,-231.0
2,3,ALWAYS_SELL,3,22,-1992.0,0.2497175141242938,-90.54545454545455,0.09090909090909091,-1992.0,-343.5,-298.5
2,3,ROUTE_STATIC,3,22,-1767.0,0.27283950617283953,-80.31818181818181,0.09090909090909091,-1767.0,-253.5,-223.5
2,3,ORACLE_DIRECTION,3,22,-372.0,0.8122634367903103,-16.90909090909091,0.13636363636363635,-858.0,-178.5,-148.5
2,3,ORACLE_SKIP,3,22,1609.5,,73.1590909090909,0.13636363636363635,0.0,0.0,0.0
2,4,PAIRED_Q_EACH,8,22,-4732.0,0.26521739130434785,-215.0909090909091,0.09090909090909091,-4732.0,-696.0,-586.0
2,4,ALWAYS_BUY,4,22,-2076.0,0.378070701018574,-94.36363636363636,0.045454545454545456,-2076.0,-358.0,-308.0
2,4,ALWAYS_SELL,4,22,-2656.0,0.2497175141242938,-120.72727272727273,0.09090909090909091,-2656.0,-458.0,-398.0
2,4,ROUTE_STATIC,4,22,-2356.0,0.27283950617283953,-107.0909090909091,0.09090909090909091,-2356.0,-338.0,-298.0
2,4,ORACLE_DIRECTION,4,22,-496.0,0.8122634367903103,-22.545454545454547,0.13636363636363635,-1144.0,-238.0,-198.0
2,4,ORACLE_SKIP,4,22,2146.0,,97.54545454545455,0.13636363636363635,0.0,0.0,0.0
2,5,PAIRED_Q_EACH,10,22,-5915.0,0.26521739130434785,-268.8636363636364,0.09090909090909091,-5915.0,-870.0,-732.5
2,5,ALWAYS_BUY,5,22,-2595.0,0.378070701018574,-117.95454545454545,0.045454545454545456,-2595.0,-447.5,-385.0
2,5,ALWAYS_SELL,5,22,-3320.0,0.2497175141242938,-150.9090909090909,0.09090909090909091,-3320.0,-572.5,-497.5
2,5,ROUTE_STATIC,5,22,-2945.0,0.27283950617283953,-133.86363636363637,0.09090909090909091,-2945.0,-422.5,-372.5
2,5,ORACLE_DIRECTION,5,22,-620.0,0.8122634367903103,-28.181818181818183,0.13636363636363635,-1430.0,-297.5,-247.5
2,5,ORACLE_SKIP,5,22,2682.5,,121.93181818181819,0.13636363636363635,0.0,0.0,0.0
2,6,PAIRED_Q_EACH,12,22,-7098.0,0.26521739130434785,-322.6363636363636,0.09090909090909091,-7098.0,-1044.0,-879.0
2,6,ALWAYS_BUY,6,22,-3114.0,0.378070701018574,-141.54545454545453,0.045454545454545456,-3114.0,-537.0,-462.0
2,6,ALWAYS_SELL,6,22,-3984.0,0.2497175141242938,-181.0909090909091,0.09090909090909091,-3984.0,-687.0,-597.0
2,6,ROUTE_STATIC,6,22,-3534.0,0.27283950617283953,-160.63636363636363,0.09090909090909091,-3534.0,-507.0,-447.0
2,6,ORACLE_DIRECTION,6,22,-744.0,0.8122634367903103,-33.81818181818182,0.13636363636363635,-1716.0,-357.0,-297.0
2,6,ORACLE_SKIP,6,22,3219.0,,146.3181818181818,0.13636363636363635,0.0,0.0,0.0
2,7,PAIRED_Q_EACH,14,22,-8281.0,0.26521739130434785,-376.40909090909093,0.09090909090909091,-8281.0,-1218.0,-1025.5
2,7,ALWAYS_BUY,7,22,-3633.0,0.378070701018574,-165.13636363636363,0.045454545454545456,-3633.0,-626.5,-539.0
2,7,ALWAYS_SELL,7,22,-4648.0,0.2497175141242938,-211.27272727272728,0.09090909090909091,-4648.0,-801.5,-696.5
2,7,ROUTE_STATIC,7,22,-4123.0,0.27283950617283953,-187.4090909090909,0.09090909090909091,-4123.0,-591.5,-521.5
2,7,ORACLE_DIRECTION,7,22,-868.0,0.8122634367903103,-39.45454545454545,0.13636363636363635,-2002.0,-416.5,-346.5
2,7,ORACLE_SKIP,7,22,3755.5,,170.70454545454547,0.13636363636363635,0.0,0.0,0.0
2,8,PAIRED_Q_EACH,16,22,-9464.0,0.26521739130434785,-430.1818181818182,0.09090909090909091,-9464.0,-1392.0,-1172.0
2,8,ALWAYS_BUY,8,22,-4152.0,0.378070701018574,-188.72727272727272,0.045454545454545456,-4152.0,-716.0,-616.0
2,8,ALWAYS_SELL,8,22,-5312.0,0.2497175141242938,-241.45454545454547,0.09090909090909091,-5312.0,-916.0,-796.0
2,8,ROUTE_STATIC,8,22,-4712.0,0.27283950617283953,-214.1818181818182,0.09090909090909091,-4712.0,-676.0,-596.0
2,8,ORACLE_DIRECTION,8,22,-992.0,0.8122634367903103,-45.09090909090909,0.13636363636363635,-2288.0,-476.0,-396.0
2,8,ORACLE_SKIP,8,22,4292.0,,195.0909090909091,0.13636363636363635,0.0,0.0,0.0
2,9,PAIRED_Q_EACH,18,22,-10647.0,0.26521739130434785,-483.95454545454544,0.09090909090909091,-10647.0,-1566.0,-1318.5
2,9,ALWAYS_BUY,9,22,-4671.0,0.378070701018574,-212.3181818181818,0.045454545454545456,-4671.0,-805.5,-693.0
2,9,ALWAYS_SELL,9,22,-5976.0,0.2497175141242938,-271.6363636363636,0.09090909090909091,-5976.0,-1030.5,-895.5
2,9,ROUTE_STATIC,9,22,-5301.0,0.27283950617283953,-240.95454545454547,0.09090909090909091,-5301.0,-760.5,-670.5
2,9,ORACLE_DIRECTION,9,22,-1116.0,0.8122634367903103,-50.72727272727273,0.13636363636363635,-2574.0,-535.5,-445.5
2,9,ORACLE_SKIP,9,22,4828.5,,219.47727272727272,0.13636363636363635,0.0,0.0,0.0
2,10,PAIRED_Q_EACH,20,22,-11830.0,0.26521739130434785,-537.7272727272727,0.09090909090909091,-11830.0,-1740.0,-1465.0
2,10,ALWAYS_BUY,10,22,-5190.0,0.378070701018574,-235.9090909090909,0.045454545454545456,-5190.0,-895.0,-770.0
2,10,ALWAYS_SELL,10,22,-6640.0,0.2497175141242938,-301.8181818181818,0.09090909090909091,-6640.0,-1145.0,-995.0
2,10,ROUTE_STATIC,10,22,-5890.0,0.27283950617283953,-267.72727272727275,0.09090909090909091,-5890.0,-845.0,-745.0
2,10,ORACLE_DIRECTION,10,22,-1240.0,0.8122634367903103,-56.36363636363637,0.13636363636363635,-2860.0,-595.0,-495.0
2,10,ORACLE_SKIP,10,22,5365.0,,243.86363636363637,0.13636363636363635,0.0,0.0,0.0
4,1,PAIRED_Q_EACH,2,22,-1603.0,0.20248756218905473,-72.86363636363636,0.09090909090909091,-1603.0,-194.0,-166.5
4,1,ALWAYS_BUY,1,22,-729.0,0.30205840114887506,-33.13636363636363,0.045454545454545456,-729.0,-99.5,-87.0
4,1,ALWAYS_SELL,1,22,-874.0,0.19447004608294932,-39.72727272727273,0.09090909090909091,-874.0,-124.5,-109.5
4,1,ROUTE_STATIC,1,22,-799.0,0.2089108910891089,-36.31818181818182,0.09090909090909091,-799.0,-94.5,-84.5
4,1,ORACLE_DIRECTION,1,22,-324.0,0.6190476190476191,-14.727272727272727,0.13636363636363635,-366.0,-69.5,-59.5
4,1,ORACLE_SKIP,1,22,526.5,,23.931818181818183,0.13636363636363635,0.0,0.0,0.0
4,2,PAIRED_Q_EACH,4,22,-3206.0,0.20248756218905473,-145.72727272727272,0.09090909090909091,-3206.0,-388.0,-333.0
4,2,ALWAYS_BUY,2,22,-1458.0,0.30205840114887506,-66.27272727272727,0.045454545454545456,-1458.0,-199.0,-174.0
4,2,ALWAYS_SELL,2,22,-1748.0,0.19447004608294932,-79.45454545454545,0.09090909090909091,-1748.0,-249.0,-219.0
4,2,ROUTE_STATIC,2,22,-1598.0,0.2089108910891089,-72.63636363636364,0.09090909090909091,-1598.0,-189.0,-169.0
4,2,ORACLE_DIRECTION,2,22,-648.0,0.6190476190476191,-29.454545454545453,0.13636363636363635,-732.0,-139.0,-119.0
4,2,ORACLE_SKIP,2,22,1053.0,,47.86363636363637,0.13636363636363635,0.0,0.0,0.0
4,3,PAIRED_Q_EACH,6,22,-4809.0,0.20248756218905473,-218.5909090909091,0.09090909090909091,-4809.0,-582.0,-499.5
4,3,ALWAYS_BUY,3,22,-2187.0,0.30205840114887506,-99.4090909090909,0.045454545454545456,-2187.0,-298.5,-261.0
4,3,ALWAYS_SELL,3,22,-2622.0,0.19447004608294932,-119.18181818181819,0.09090909090909091,-2622.0,-373.5,-328.5
4,3,ROUTE_STATIC,3,22,-2397.0,0.2089108910891089,-108.95454545454545,0.09090909090909091,-2397.0,-283.5,-253.5
4,3,ORACLE_DIRECTION,3,22,-972.0,0.6190476190476191,-44.18181818181818,0.13636363636363635,-1098.0,-208.5,-178.5
4,3,ORACLE_SKIP,3,22,1579.5,,71.79545454545455,0.13636363636363635,0.0,0.0,0.0
4,4,PAIRED_Q_EACH,8,22,-6412.0,0.20248756218905473,-291.45454545454544,0.09090909090909091,-6412.0,-776.0,-666.0
4,4,ALWAYS_BUY,4,22,-2916.0,0.30205840114887506,-132.54545454545453,0.045454545454545456,-2916.0,-398.0,-348.0
4,4,ALWAYS_SELL,4,22,-3496.0,0.19447004608294932,-158.9090909090909,0.09090909090909091,-3496.0,-498.0,-438.0
4,4,ROUTE_STATIC,4,22,-3196.0,0.2089108910891089,-145.27272727272728,0.09090909090909091,-3196.0,-378.0,-338.0
4,4,ORACLE_DIRECTION,4,22,-1296.0,0.6190476190476191,-58.90909090909091,0.13636363636363635,-1464.0,-278.0,-238.0
4,4,ORACLE_SKIP,4,22,2106.0,,95.72727272727273,0.13636363636363635,0.0,0.0,0.0
4,5,PAIRED_Q_EACH,10,22,-8015.0,0.20248756218905473,-364.3181818181818,0.09090909090909091,-8015.0,-970.0,-832.5
4,5,ALWAYS_BUY,5,22,-3645.0,0.30205840114887506,-165.6818181818182,0.045454545454545456,-3645.0,-497.5,-435.0
