trade_number,entry_time,route_class,q,label,buy_net,sell_net,pair_net,action,prob_buy,prob_sell,expected_buy,expected_sell,rf_action,static_action,month,probability_margin,chosen_expected_edge,rf_net_0t,static_net_0t,delta_rf_minus_static_0t,rf_net_1t,static_net_1t,delta_rf_minus_static_1t,rf_net_2t,static_net_2t,delta_rf_minus_static_2t,rf_net_4t,static_net_4t,delta_rf_minus_static_4t,relationship,rf_outcome,static_outcome,rf_label_match,static_label_match
2364,2026-01-25 18:00:00,WEEKLY,2.0,SELL,-59.0,391.0,332.0,SELL,0.299549256793401,0.458093545212623,75.79716555703048,147.14209534568036,SELL,BUY,2026-01,0.15854428841922202,147.14209534568036,391.0,-59.0,450.0,381.0,-69.0,450.0,371.0,-79.0,450.0,351.0,-99.0,450.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2365,2026-01-26 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.2884513740329461,0.3111529085352225,140.03144808273282,155.69550688930352,SELL,SELL,2026-01,0.02270153450227641,155.69550688930352,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2366,2026-01-27 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2404978010225544,0.2322727186427339,106.9434827055626,101.2681758634864,BUY,SELL,2026-01,0.008225082379820503,106.9434827055626,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2367,2026-01-27 18:00:00,WEEKDAY_PREMIUM,2.0,BUY,391.0,-59.0,332.0,SELL,0.2452489929420228,0.3266329797818577,51.36204682391029,87.98484090183598,SELL,BUY,2026-01,0.08138398683983489,87.98484090183598,-59.0,391.0,-450.0,-69.0,381.0,-450.0,-79.0,371.0,-450.0,-99.0,351.0,-450.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2368,2026-01-28 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.2751855344401221,0.2239021450521057,130.87801876368428,95.49248008595296,BUY,SELL,2026-01,0.05128338938801641,130.87801876368428,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2369,2026-01-28 18:00:00,WEEKDAY_PREMIUM,2.0,BUY,391.0,-59.0,332.0,SELL,0.2808842580295991,0.3954603868919223,67.3979161133196,118.95717410136508,SELL,BUY,2026-01,0.11457612886232321,118.95717410136508,-59.0,391.0,-450.0,-69.0,381.0,-450.0,-79.0,371.0,-450.0,-99.0,351.0,-450.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2370,2026-01-29 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,SELL,0.2640129337424932,0.3229117931778416,123.16892428232036,163.8091372927107,SELL,SELL,2026-01,0.058898859435348394,163.8091372927107,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2371,2026-01-29 18:00:00,WEEKDAY_WEAK,1.0,BUY,195.5,-29.5,166.0,SKIP,0.2805644932323565,0.3358837167511625,33.62701097728022,46.07383626901158,SKIP,SELL,2026-01,0.05531922351880603,0.0,0.0,-29.5,29.5,0.0,-34.5,34.5,0.0,-39.5,39.5,0.0,-49.5,49.5,RF_SKIP_STATIC_TRADE,SKIP,LOSS,False,False
2372,2026-01-30 09:30:00,NY,2.0,SELL,-59.0,631.0,572.0,BUY,0.3763687652391526,0.2973246733642793,200.69444801501533,146.15402462135273,BUY,SELL,2026-01,0.07904409187487327,200.69444801501533,-59.0,631.0,-690.0,-69.0,621.0,-690.0,-79.0,611.0,-690.0,-99.0,591.0,-690.0,OPPOSITE_DIRECTION,LOSS,WIN,False,True
2373,2026-02-01 18:00:00,WEEKLY,2.0,SKIP,-59.0,-59.0,-118.0,SELL,0.3918675753968353,0.4039256909849223,117.3404089285759,122.76656094321504,SELL,BUY,2026-02,0.012058115588087004,122.76656094321504,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,OPPOSITE_DIRECTION,LOSS,LOSS,False,False
2374,2026-02-02 09:30:00,NY,2.0,SKIP,-59.0,-59.0,-118.0,SELL,0.336845402205248,0.3862639131801872,173.42332752162116,207.5221000943292,SELL,SELL,2026-02,0.04941851097493921,207.5221000943292,-59.0,-59.0,0.0,-69.0,-69.0,0.0,-79.0,-79.0,0.0,-99.0,-99.0,0.0,SAME_ACTION,LOSS,LOSS,False,False
2375,2026-02-02 18:00:00,WEEKDAY_WEAK,1.0,SKIP,-29.5,-29.5,-59.0,SKIP,0.2865742321770769,0.339403893922311,34.979202239842294,46.86587613251997,SKIP,SELL,2026-02,0.052829661745234124,0.0,0.0,-29.5,29.5,0.0,-34.5,34.5,0.0,-39.5,39.5,0.0,-49.5,49.5,RF_SKIP_STATIC_TRADE,SKIP,LOSS,True,False
2376,2026-02-03 09:30:00,NY,2.0,BUY,631.0,-59.0,572.0,BUY,0.3069650895575805,0.2992825640457894,152.80591179473055,147.5049691915947,BUY,SELL,2026-02,0.007682525511791105,152.80591179473055,631.0,-59.0,690.0,621.0,-69.0,690.0,611.0,-79.0,690.0,591.0,-99.0,690.0,OPPOSITE_DIRECTION,WIN,LOSS,True,False
2377,2026-02-03 18:00:00,WEEKDAY_WEAK,1.0,SKIP,-29.5,-29.5,-59.0,SKIP,0.3358858450141615,0.3922889232069724,46.07431512818634,58.76500772156879,SKIP,SELL,2026-02,0.056403078192810874,0.0,0.0,-29.5,29.5,0.0,-34.5,34.5,0.0,-39.5,39.5,0.0,-49.5,49.5,RF_SKIP_STATIC_TRADE,SKIP,LOSS,True,False
