dataset_split,rule,family,extra_slippage_ticks,sessions,candidate_net,control_net,delta_vs_control,average_session,median_session,positive_sessions,negative_sessions,worst_pair_session,best_pair_session,worst_buy_worker,worst_sell_worker,profit_factor,max_drawdown,floors_fired,sessions_improved,sessions_worsened,unchanged_sessions
DISCOVERY_AUGUST,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,2,17,-29.0,916.0,-945.0,-1.7058823529411764,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.977657935285054,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_3R,FIXED,2,17,-49.0,916.0,-965.0,-2.8823529411764706,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9622496147919877,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_50_ARM_2R,FIXED,2,17,-69.0,916.0,-985.0,-4.0588235294117645,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9468412942989214,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_2R,FIXED,2,17,-84.0,916.0,-1000.0,-4.9411764705882355,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9352850539291218,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_2R,FIXED,2,17,-89.0,916.0,-1005.0,-5.235294117647059,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9314329738058552,-418.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_85_ARM_4R,FIXED,2,17,-364.0,916.0,-1280.0,-21.41176470588235,-118.0,5,12,-118.0,252.0,-59.0,-59.0,0.7195685670261941,-491.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_3R,FIXED,2,17,-514.0,916.0,-1430.0,-30.235294117647058,-118.0,5,12,-118.0,212.0,-59.0,-59.0,0.6040061633281972,-491.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_2R,FIXED,2,17,-744.0,916.0,-1660.0,-43.76470588235294,-118.0,5,12,-118.0,212.0,-59.0,-59.0,0.4268104776579353,-626.0,5,0,5,12
DISCOVERY_AUGUST,CONTROL_NO_PAIR_FLOOR,CONTROL,4,17,916.0,916.0,0.0,53.88235294117647,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.7057010785824345,-413.0,0,0,0,17
DISCOVERY_AUGUST,FIXED_85_ARM_5R,FIXED,4,17,256.0,916.0,-660.0,15.058823529411764,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.197226502311248,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_75_ARM_5R,FIXED,4,17,196.0,916.0,-720.0,11.529411764705882,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.1510015408320493,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_65_ARM_5R,FIXED,4,17,126.0,916.0,-790.0,7.411764705882353,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0970724191063175,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_BALANCED_3R_5R_8R_12R,DYNAMIC,4,17,126.0,916.0,-790.0,7.411764705882353,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0970724191063175,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_FAST_2R_4R_6R_8R,DYNAMIC,4,17,41.0,916.0,-875.0,2.411764705882353,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.031587057010786,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_50_ARM_3R,FIXED,4,17,36.0,916.0,-880.0,2.1176470588235294,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0277349768875192,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_50_ARM_4R,FIXED,4,17,36.0,916.0,-880.0,2.1176470588235294,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0277349768875192,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_50_ARM_5R,FIXED,4,17,36.0,916.0,-880.0,2.1176470588235294,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0277349768875192,-413.0,2,0,2,15
DISCOVERY_AUGUST,DYNAMIC_LOOSE_4R_7R_11R_16R,DYNAMIC,4,17,36.0,916.0,-880.0,2.1176470588235294,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0277349768875192,-413.0,2,0,2,15
DISCOVERY_AUGUST,FIXED_65_ARM_4R,FIXED,4,17,31.0,916.0,-885.0,1.8235294117647058,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0238828967642526,-413.0,3,0,3,14
DISCOVERY_AUGUST,ADAPTIVE_VOL_ARM_4R,ADAPTIVE,4,17,31.0,916.0,-885.0,1.8235294117647058,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0238828967642526,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_4R,FIXED,4,17,11.0,916.0,-905.0,0.6470588235294118,-118.0,5,12,-118.0,572.0,-59.0,-59.0,1.0084745762711864,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_3R,FIXED,4,17,-79.0,916.0,-995.0,-4.647058823529412,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9391371340523883,-413.0,3,0,3,14
DISCOVERY_AUGUST,ADAPTIVE_VOL_ARM_3R,ADAPTIVE,4,17,-79.0,916.0,-995.0,-4.647058823529412,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9391371340523883,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_3R,FIXED,4,17,-99.0,916.0,-1015.0,-5.823529411764706,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.923728813559322,-413.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_50_ARM_2R,FIXED,4,17,-119.0,916.0,-1035.0,-7.0,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.9083204930662557,-433.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_75_ARM_2R,FIXED,4,17,-134.0,916.0,-1050.0,-7.882352941176471,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.8967642526964561,-448.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_65_ARM_2R,FIXED,4,17,-139.0,916.0,-1055.0,-8.176470588235293,-118.0,5,12,-118.0,572.0,-59.0,-59.0,0.8929121725731896,-453.0,3,0,3,14
DISCOVERY_AUGUST,FIXED_85_ARM_4R,FIXED,4,17,-454.0,916.0,-1370.0,-26.705882352941178,-118.0,5,12,-118.0,232.0,-59.0,-59.0,0.650231124807396,-531.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_3R,FIXED,4,17,-604.0,916.0,-1520.0,-35.529411764705884,-118.0,5,12,-118.0,192.0,-59.0,-59.0,0.5346687211093991,-531.0,5,0,5,12
DISCOVERY_AUGUST,FIXED_85_ARM_2R,FIXED,4,17,-834.0,916.0,-1750.0,-49.05882352941177,-118.0,5,12,-118.0,192.0,-59.0,-59.0,0.3574730354391371,-716.0,5,0,5,12
